index,lon,lat,age,plate_id
0, -66.28, -27.37, 6, 202
1, -69.37, -31.30, 267, 202
2, -69.75, -30.50, 12, 202
3, -66.65, -27.27, 8, 202
4, -66.61, -27.33, 8, 202
5, -66.55, -27.40, 7, 202
6, -66.57, -27.28, 8, 202
7, -67.90, -26.30, 14, 202
8, -70.58, -38.25, 74, 283
9, -69.17, -30.00, 261, 202
10, -70.05, -31.95, 13, 202
11, -66.60, -24.13, 0, 202
12, -69.63, -30.93, 0, 202
13, -66.76, -25.14, 15, 202
14, -70.63, -39.18, 281, 283
15, -67.75, -29.00, 4, 202
16, -69.08, -32.42, 14, 202
17, -69.10, -32.48, 14, 202
18, -70.47, -37.43, 45, 2901
19, -69.43, -32.25, 260, 202
20, -67.78, -24.57, 29, 202
21, -67.73, -24.58, 31, 202
22, -69.44, -32.14, 264, 202
23, -71.42, -30.25, 112, 202
24, -69.92, -22.53, 142, 202
25, -69.17, -23.16, 44, 202
26, -69.23, -27.78, 14, 202
27, -69.26, -20.04, 52, 201
28, -69.08, -24.13, 37, 202
29, -68.90, -22.27, 33, 201
30, -68.71, -20.96, 32, 201
31, -68.74, -21.95, 36, 201
32, -68.89, -20.90, 35, 201
33, -68.83, -21.92, 36, 201
34, -68.73, -21.12, 252, 201
35, -69.55, -26.25, 42, 202
36, -69.08, -22.99, 29, 202
37, -70.46, -34.09, 5, 2901
38, -69.07, -24.27, 37, 202
39, -69.06, -22.97, 41, 202
40, -68.82, -23.41, 42, 202
41, -69.87, -26.77, 63, 202
42, -69.88, -28.63, 34, 202
43, -69.08, -20.18, 31, 201
44, -68.75, -22.67, 275, 201
45, -69.51, -23.45, 58, 202
46, -70.27, -33.13, 5, 2901
47, -70.50, -31.71, 10, 202
48, -69.24, -22.56, 64, 201
49, -68.91, -22.38, 34, 201
50, -69.28, -19.81, 58, 201
51, -68.97, -22.47, 36, 201
52, -69.42, -26.49, 36, 202
53, -69.83, -21.92, 132, 201
54, -68.80, -21.00, 36, 201
55, -68.97, -19.87, 36, 201
56, -70.30, -28.50, 64, 202
57, -69.23, -25.22, 292, 202
58, -69.34, -22.88, 64, 202
59, -69.30, -22.84, 57, 202
60, -69.45, -18.59, 0, 201
61, -68.95, -22.42, 38, 201
62, -68.64, -20.99, 35, 201
63, -70.23, -32.88, 11, 2901
64, -75.03, 3.52, 166, 201
65, -75.30, 4.18, 131, 201
66, -76.67, 1.24, 166, 201
67, -76.88, 2.10, 17, 201
68, -79.15, -1.67, 20, 201
69, -79.12, -1.38, 20, 201
70, -79.42, -2.93, 11, 201
71, -78.88, -4.02, 141, 201
72, -78.95, -4.25, 154, 201
73, -79.33, -3.58, 10, 201
74, -79.68, -3.05, 19, 201
75, -78.58, 0.33, 6, 201
76, -78.90, -4.65, 154, 201
77, -78.50, -3.60, 154, 201
78, -79.58, -4.20, 14, 201
79, -78.42, -3.65, 154, 201
80, -79.13, -1.57, 15, 201
81, -79.25, -4.25, 154, 201
82, -78.60, -3.78, 154, 201
83, -74.45, -14.20, 0, 201
84, -77.90, -8.56, 5, 201
85, -75.92, -13.23, 0, 201
86, -73.58, -15.82, 0, 201
87, -71.35, -14.96, 36, 201
88, -79.28, -6.08, 15, 201
89, -69.90, -17.68, 59, 201
90, -78.61, -6.76, 10, 201
91, -71.55, -16.55, 57, 201
92, -71.59, -16.54, 62, 201
93, -72.33, -14.03, 36, 201
94, -75.42, -14.23, 0, 201
95, -71.77, -14.46, 33, 201
96, -71.26, -14.95, 31, 201
97, -72.35, -14.18, 36, 201
98, -70.71, -17.05, 51, 201
99, -78.32, -7.02, 17, 201
100, -75.72, -13.77, 0, 201
101, -79.12, -6.36, 12, 201
102, -79.28, -5.70, 0, 201
103, -78.58, -7.12, 0, 201
104, -72.99, -14.46, 36, 201
105, -73.13, -14.16, 32, 201
106, -77.77, -8.22, 15, 201
107, -78.32, -7.30, 20, 201
108, -78.36, -6.92, 16, 201
109, -79.21, -5.71, 0, 201
110, -78.00, -8.79, 15, 201
111, -75.35, -13.93, 0, 201
112, -76.08, -11.48, 7, 201
113, -71.31, -14.98, 38, 201
114, -70.62, -17.11, 54, 201
115, -79.31, -4.94, 16, 201
116, -78.67, -6.73, 13, 201
117, -75.09, -13.69, 0, 201
118, -71.31, -14.91, 33, 201
119, -70.61, -17.25, 57, 201
120, -76.13, -11.60, 8, 201
121, -66.28, -27.37, 85, 202
122, -69.37, -31.30, 81, 202
123, -69.75, -30.50, 50, 202
124, -66.65, -27.27, 130, 202
125, -66.61, -27.33, 53, 202
126, -66.55, -27.40, 62, 202
127, -66.57, -27.28, 77, 202
128, -67.90, -26.30, 86, 202
129, -70.58, -38.25, 28, 283
130, -69.17, -30.00, 132, 202
131, -70.05, -31.95, 106, 202
132, -66.60, -24.13, 210, 202
133, -69.63, -30.93, 224, 202
134, -66.76, -25.14, 217, 202
135, -70.63, -39.18, 106, 283
136, -67.75, -29.00, 146, 202
137, -69.08, -32.42, 104, 202
138, -69.10, -32.48, 92, 202
139, -70.47, -37.43, 24, 2901
140, -69.43, -32.25, 142, 202
141, -67.78, -24.57, 95, 202
142, -67.73, -24.58, 79, 202
143, -69.44, -32.14, 176, 202
144, -71.42, -30.25, 13, 202
145, -69.92, -22.53, 18, 202
146, -69.17, -23.16, 175, 202
147, -69.23, -27.78, 80, 202
148, -69.26, -20.04, 184, 201
149, -69.08, -24.13, 35, 202
150, -68.90, -22.27, 169, 201
151, -68.71, -20.96, 133, 201
152, -68.74, -21.95, 168, 201
153, -68.89, -20.90, 27, 201
154, -68.83, -21.92, 91, 201
155, -68.73, -21.12, 229, 201
156, -69.55, -26.25, 113, 202
157, -69.08, -22.99, 188, 202
158, -70.46, -34.09, 195, 2901
159, -69.07, -24.27, 68, 202
160, -69.06, -22.97, 6, 202
161, -68.82, -23.41, 41, 202
162, -69.87, -26.77, 209, 202
163, -69.88, -28.63, 191, 202
164, -69.08, -20.18, 192, 201
165, -68.75, -22.67, 181, 201
166, -69.51, -23.45, 120, 202
167, -70.27, -33.13, 129, 2901
168, -70.50, -31.71, 56, 202
169, -69.24, -22.56, 129, 201
170, -68.91, -22.38, 93, 201
171, -69.28, -19.81, 43, 201
172, -68.97, -22.47, 29, 201
173, -69.42, -26.49, 214, 202
174, -69.83, -21.92, 217, 201
175, -68.80, -21.00, 162, 201
176, -68.97, -19.87, 117, 201
177, -70.30, -28.50, 93, 202
178, -69.23, -25.22, 92, 202
179, -69.34, -22.88, 153, 202
180, -69.30, -22.84, 122, 202
181, -69.45, -18.59, 145, 201
182, -68.95, -22.42, 185, 201
183, -68.64, -20.99, 107, 201
184, -70.23, -32.88, 206, 2901
185, -75.03, 3.52, 10, 201
186, -75.30, 4.18, 114, 201
187, -76.67, 1.24, 23, 201
188, -76.88, 2.10, 148, 201
189, -79.15, -1.67, 57, 201
190, -79.12, -1.38, 70, 201
191, -79.42, -2.93, 53, 201
192, -78.88, -4.02, 50, 201
193, -78.95, -4.25, 169, 201
194, -79.33, -3.58, 97, 201
195, -79.68, -3.05, 22, 201
196, -78.58, 0.33, 81, 201
197, -78.90, -4.65, 1, 201
198, -78.50, -3.60, 51, 201
199, -79.58, -4.20, 159, 201
200, -78.42, -3.65, 77, 201
201, -79.13, -1.57, 178, 201
202, -79.25, -4.25, 137, 201
203, -78.60, -3.78, 181, 201
204, -74.45, -14.20, 131, 201
205, -77.90, -8.56, 207, 201
206, -75.92, -13.23, 181, 201
207, -73.58, -15.82, 218, 201
208, -71.35, -14.96, 63, 201
209, -79.28, -6.08, 46, 201
210, -69.90, -17.68, 21, 201
211, -78.61, -6.76, 143, 201
212, -71.55, -16.55, 129, 201
213, -71.59, -16.54, 103, 201
214, -72.33, -14.03, 62, 201
215, -75.42, -14.23, 208, 201
216, -71.77, -14.46, 88, 201
217, -71.26, -14.95, 103, 201
218, -72.35, -14.18, 179, 201
219, -70.71, -17.05, 76, 201
220, -78.32, -7.02, 107, 201
221, -75.72, -13.77, 83, 201
222, -79.12, -6.36, 149, 201
223, -79.28, -5.70, 173, 201
224, -78.58, -7.12, 140, 201
225, -72.99, -14.46, 49, 201
226, -73.13, -14.16, 202, 201
227, -77.77, -8.22, 38, 201
228, -78.32, -7.30, 121, 201
229, -78.36, -6.92, 177, 201
230, -79.21, -5.71, 93, 201
231, -78.00, -8.79, 183, 201
232, -75.35, -13.93, 131, 201
233, -76.08, -11.48, 193, 201
234, -71.31, -14.98, 120, 201
235, -70.62, -17.11, 115, 201
236, -79.31, -4.94, 180, 201
237, -78.67, -6.73, 15, 201
238, -75.09, -13.69, 91, 201
239, -71.31, -14.91, 133, 201
240, -70.61, -17.25, 224, 201
241, -76.13, -11.60, 47, 201
242, -81.84, -4.40, 0, 201
243, -81.83, -4.21, 0, 201
244, -81.81, -4.60, 0, 201
245, -81.80, -4.02, 0, 201
246, -81.78, -4.80, 0, 201
247, -81.77, -3.83, 0, 201
248, -81.76, -5.00, 0, 201
249, -81.74, -3.64, 0, 201
250, -81.73, -5.19, 0, 201
251, -81.71, -3.45, 0, 201
252, -81.71, -5.39, 0, 201
253, -81.68, -5.59, 0, 201
254, -81.68, -3.27, 0, 201
255, -81.65, -5.78, 0, 201
256, -81.65, -3.08, 0, 201
257, -81.63, -5.98, 0, 201001
258, -81.62, -2.88, 0, 201
259, -81.60, -2.71, 0, 201
260, -81.60, -6.18, 0, 201001
261, -81.59, -2.57, 0, 201
262, -81.58, -2.43, 0, 201
263, -81.57, -6.38, 0, 201001
264, -81.56, -2.30, 0, 201
265, -81.55, -2.18, 0, 201
266, -81.55, -6.57, 0, 201001
267, -81.53, -2.07, 0, 201
268, -81.52, -6.77, 0, 201001
269, -81.52, -1.99, 0, 201
270, -81.50, -1.86, 0, 201
271, -81.50, -6.97, 0, 201001
272, -81.47, -1.68, 0, 201
273, -81.47, -7.16, 0, 201001
274, -81.45, -1.53, 0, 201
275, -81.44, -7.36, 0, 201001
276, -81.43, -1.42, 0, 201
277, -81.42, -1.31, 0, 201
278, -81.41, -1.19, 0, 201
279, -81.39, -7.54, 0, 201001
280, -81.38, -1.06, 0, 201
281, -81.35, -0.93, 0, 201
282, -81.31, -7.71, 0, 201001
283, -81.31, -0.80, 0, 201
284, -81.27, -0.65, 0, 201
285, -81.24, -7.88, 0, 201001
286, -81.22, -0.47, 0, 201
287, -81.16, -0.32, 0, 201
288, -81.16, -8.05, 0, 201001
289, -81.10, -0.17, 0, 201
290, -81.08, -8.21, 0, 201001
291, -81.04, -0.03, 0, 201
292, -81.00, -8.38, 0, 201001
293, -80.98, 0.12, 0, 201
294, -80.93, -8.55, 0, 201001
295, -80.92, 0.27, 0, 201
296, -80.85, 0.43, 0, 201
297, -80.85, -8.71, 0, 201002
298, -80.79, 0.61, 0, 201
299, -80.77, -8.88, 0, 201002
300, -80.72, 0.78, 0, 201
301, -80.69, -9.05, 0, 201002
302, -80.64, 0.94, 0, 201
303, -80.61, -9.22, 0, 201002
304, -80.58, 1.09, 0, 201
305, -80.54, -9.38, 0, 201002
306, -80.52, 1.22, 0, 201
307, -80.46, 1.36, 0, 201
308, -80.46, -9.55, 0, 201002
309, -80.39, 1.48, 0, 201
310, -80.38, -9.72, 0, 201002
311, -80.32, 1.60, 0, 201
312, -80.29, -9.88, 0, 201002
313, -80.25, 1.71, 0, 201
314, -80.18, -10.04, 0, 201002
315, -80.16, 1.86, 0, 201
316, -80.07, -10.19, 0, 201002
317, -80.06, 2.02, 0, 201
318, -79.97, 2.16, 0, 201
319, -79.97, -10.35, 0, 201002
320, -79.89, 2.26, 0, 201
321, -79.86, -10.51, 0, 201002
322, -79.82, 2.37, 0, 201
323, -79.75, -10.66, 0, 201002
324, -79.73, 2.49, 0, 201
325, -79.65, 2.60, 0, 201
326, -79.64, -10.82, 0, 201002
327, -79.56, 2.73, 0, 201
328, -79.54, -10.98, 0, 201002
329, -79.47, 2.85, 0, 201
330, -79.43, -11.14, 0, 201002
331, -79.38, 2.98, 0, 201
332, -79.32, -11.29, 0, 201002
333, -79.29, 3.10, 0, 201
334, -79.21, -11.45, 0, 201002
335, -79.20, 3.21, 0, 201
336, -79.11, 3.31, 0, 201
337, -79.11, -11.61, 0, 201002
338, -79.01, 3.42, 0, 201
339, -79.00, -11.76, 0, 201002
340, -78.89, 3.52, 0, 201
341, -78.89, -11.92, 0, 201002
342, -78.78, -12.08, 0, 201003
343, -78.78, 3.66, 0, 201
344, -78.67, 3.81, 0, 201
345, -78.67, -12.23, 0, 201003
346, -78.58, 3.93, 0, 201
347, -78.57, -12.39, 0, 201003
348, -78.50, 4.02, 0, 201
349, -78.46, -12.55, 0, 201003
350, -78.45, 4.11, 0, 201
351, -78.43, 4.22, 0, 201
352, -78.36, 4.34, 0, 201
353, -78.35, -12.70, 0, 201003
354, -78.24, -12.86, 0, 201003
355, -78.22, 4.47, 0, 201
356, -78.13, -13.01, 0, 201003
357, -78.08, 4.60, 0, 201
358, -78.02, -13.17, 0, 201003
359, -77.99, 4.75, 0, 2031
360, -77.94, 4.92, 0, 2031
361, -77.91, -13.33, 0, 201003
362, -77.80, -13.48, 0, 201003
363, -77.69, -13.64, 0, 201003
364, -77.58, -13.80, 0, 201003
365, -77.47, -13.95, 0, 201003
366, -77.43, -49.39, 0, 201
367, -77.42, -49.55, 0, 201
368, -77.41, -49.24, 0, 201
369, -77.39, -49.73, 0, 201
370, -77.39, -49.09, 0, 201
371, -77.36, -14.11, 0, 201003
372, -77.36, -49.90, 0, 201
373, -77.34, -48.92, 0, 201
374, -77.32, -50.06, 0, 201
375, -77.30, -50.21, 0, 201
376, -77.27, -50.33, 0, 201
377, -77.27, -48.74, 0, 201
378, -77.25, -14.25, 0, 201003
379, -77.23, -50.47, 0, 201
380, -77.20, -48.60, 0, 201
381, -77.18, -50.62, 0, 201
382, -77.15, -48.49, 0, 201
383, -77.12, -50.77, 0, 201
384, -77.12, -14.38, 0, 201003
385, -77.09, -48.37, 0, 201
386, -77.06, -50.94, 0, 201
387, -77.03, -48.24, 0, 201
388, -76.99, -14.50, 0, 201003
389, -76.99, -51.11, 0, 201
390, -76.96, -48.10, 0, 201
391, -76.90, -51.30, 0, 201
392, -76.88, -47.95, 0, 201
393, -76.86, -14.63, 0, 201003
394, -76.82, -51.45, 0, 201
395, -76.80, -47.79, 0, 201
396, -76.75, -51.56, 0, 201
397, -76.73, -14.76, 0, 201003
398, -76.71, -47.63, 0, 201
399, -76.68, -51.70, 0, 201
400, -76.63, -47.48, 0, 201
401, -76.61, -51.85, 0, 201
402, -76.60, -14.89, 0, 201003
403, -76.57, -52.01, 0, 201
404, -76.54, -47.33, 0, 201
405, -76.54, -52.17, 0, 201
406, -76.52, -52.33, 0, 201
407, -76.49, -52.50, 0, 201
408, -76.47, -15.01, 0, 201003
409, -76.46, -52.67, 0, 201
410, -76.46, -47.19, 0, 201
411, -76.43, -52.86, 0, 201
412, -76.40, -53.05, 0, 201
413, -76.38, -47.06, 0, 201
414, -76.37, -53.23, 0, 201
415, -76.34, -15.14, 0, 201004
416, -76.32, -53.41, 0, 201
417, -76.30, -46.90, 0, 201
418, -76.25, -53.59, 0, 201
419, -76.21, -15.27, 0, 201004
420, -76.21, -46.73, 0, 201
421, -76.20, -53.72, 0, 201
422, -76.16, -45.31, 0, 201
423, -76.15, -45.45, 0, 201
424, -76.15, -45.21, 0, 201
425, -76.14, -45.56, 0, 201
426, -76.14, -46.56, 0, 201
427, -76.14, -45.66, 0, 201
428, -76.14, -45.08, 0, 201
429, -76.13, -53.81, 0, 201
430, -76.13, -45.80, 0, 201
431, -76.12, -44.94, 0, 201
432, -76.11, -45.94, 0, 201
433, -76.11, -44.79, 0, 201
434, -76.09, -44.62, 0, 201
435, -76.09, -46.09, 0, 201
436, -76.09, -46.39, 0, 201
437, -76.08, -15.39, 0, 201004
438, -76.07, -44.43, 0, 201
439, -76.07, -46.23, 0, 201
440, -76.05, -44.27, 0, 201
441, -76.03, -53.93, 0, 201
442, -76.02, -44.11, 0, 201
443, -75.99, -43.95, 0, 201
444, -75.96, -43.79, 0, 201
445, -75.95, -15.52, 0, 201004
446, -75.93, -54.06, 0, 201
447, -75.92, -43.62, 0, 201
448, -75.89, -43.43, 0, 201
449, -75.86, -43.28, 0, 201
450, -75.83, -43.14, 0, 201
451, -75.82, -15.65, 0, 201004
452, -75.80, -42.99, 0, 201
453, -75.80, -54.17, 0, 201
454, -75.77, -42.83, 0, 201
455, -75.74, -42.67, 0, 201
456, -75.71, -42.50, 0, 201
457, -75.69, -15.77, 0, 201004
458, -75.68, -42.35, 0, 201
459, -75.65, -42.20, 0, 201
460, -75.63, -42.06, 0, 201
461, -75.63, -54.29, 0, 201
462, -75.60, -41.92, 0, 201
463, -75.57, -41.79, 0, 201
