index,lon,lat,age,plate_id
0,-110.91,30.0,0,101
1,-120.92,59.62,0,101
2,-99.69,15.24,0,909
3,-163.23,57.16,0,16140
4,-135.65,57.56,0,16122
5,-148.28,63.0,0,16110
6,-107.35,37.36,0,101
7,-105.0,22.72,0,104
8,-90.0,15.45,0,211
9,-114.57,44.61,0,154
10,-117.73,36.98,0,178
11,-123.85,51.58,0,16101
12,-141.44,60.43,0,16121
13,-128.5,58.8,0,16106
14,-133.76,61.99,0,16106
15,-140.3,64.94,0,154
16,-165.43,61.56,0,18106
17,-156.42,60.29,0,18106
18,-157.78,64.8,0,18106
19,-105.31,41.0,0,101
20,-109.21,33.69,0,101
21,-105.76,30.74,0,101
22,-103.83,34.37,0,101
23,-112.48,26.29,0,105
24,-109.48,22.7,0,105
25,-107.86,26.39,0,104
26,-102.29,19.0,0,215
27,-106.63,19.02,0,901
28,-102.86,27.02,0,101
29,-97.48,19.41,0,215
30,-100.09,23.21,0,104
31,-94.85,15.4,0,208
32,-112.56,37.28,0,101
33,-114.18,33.54,0,101
34,-108.8,44.75,0,101
35,-110.76,41.04,0,101
36,-120.28,44.19,0,173
37,-121.61,40.3,0,178
38,-116.24,40.81,0,178
39,-129.31,54.71,0,16124
40,-122.54,55.61,0,154
41,-124.95,47.54,0,173
42,-130.02,50.59,0,903
43,-112.67,48.54,0,101
44,-117.21,52.2,0,154
45,-118.89,48.19,0,154
46,-159.28,56.54,0,16112
47,-161.92,55.22,0,16112
48,-167.31,57.65,0,16140
49,-139.02,56.79,0,901
50,-138.42,59.02,0,16123
51,-141.87,58.18,0,901
52,-144.72,61.76,0,16112
53,-148.28,60.75,0,16121
54,-144.96,59.51,0,16121
55,-132.14,58.23,0,16101
56,-131.0,60.42,0,16106
57,-134.77,59.77,0,16101
58,-124.76,59.26,0,101
59,-127.09,60.95,0,154
60,-132.6,64.19,0,154
61,-129.7,62.6,0,154
62,-139.55,67.17,0,154
63,-135.89,65.73,0,154
64,-148.28,65.25,0,16105
65,-144.43,64.02,0,16105
66,-144.09,66.27,0,154
67,-137.69,61.26,0,16104
68,-136.86,63.5,0,154
69,-140.91,62.68,0,16105
70,-164.26,59.37,0,16140
71,-166.78,63.75,0,43301
72,-155.91,58.05,0,16112
73,-159.98,58.77,0,18108
74,-152.53,61.7,0,18106
75,-152.25,59.46,0,16112
76,-153.28,66.22,0,18106
77,-152.88,63.98,0,18104
78,-162.96,65.45,0,43301
79,-160.84,61.0,0,18106
80,-157.05,62.55,0,18106
81,-161.82,63.23,0,18106
82,-106.36,39.18,0,101
83,-104.53,37.71,0,101
84,-108.3,35.53,0,101
85,-106.53,34.06,0,101
86,-105.56,35.88,0,101
87,-110.07,31.85,0,101
88,-108.34,30.4,0,101
89,-107.46,32.23,0,101
90,-103.16,31.04,0,101
91,-102.16,32.84,0,101
92,-104.81,32.56,0,101
93,-102.78,36.18,0,101
94,-111.71,28.15,0,104
95,-110.17,26.36,0,104
96,-109.36,28.2,0,104
97,-110.96,24.5,0,105
98,-107.24,22.72,0,104
99,-106.41,24.56,0,104
100,-108.68,24.55,0,104
101,-105.28,17.17,0,909
102,-107.43,17.17,0,901
103,-100.98,17.12,0,215
104,-103.12,17.16,0,909
105,-103.62,20.86,0,104
106,-105.83,20.87,0,104
107,-104.46,19.02,0,215
108,-110.26,20.83,0,901
109,-108.83,19.0,0,970
110,-108.04,20.87,0,970
111,-104.28,28.89,0,101
112,-101.73,29.15,0,101
113,-106.83,28.57,0,101
114,-103.94,24.87,0,104
115,-105.36,26.73,0,101
116,-101.2,21.11,0,104
117,-102.55,22.98,0,104
118,-98.6,17.33,0,215
119,-99.89,19.22,0,215
120,-97.62,23.4,0,104
121,-98.77,21.32,0,104
122,-100.31,27.25,0,101
123,-101.45,25.12,0,104
124,-98.94,25.33,0,101
125,-97.27,15.33,0,215
126,-91.22,13.51,0,909
127,-92.42,15.44,0,208
128,-88.78,13.51,0,204
129,-96.15,17.41,0,215
130,-93.69,17.46,0,205
131,-113.45,29.55,0,104
132,-114.2,27.68,0,105
133,-111.7,33.64,0,101
134,-112.51,31.78,0,101
135,-109.96,37.35,0,101
136,-110.84,35.5,0,101
137,-115.15,37.16,0,178
138,-115.92,35.27,0,101
139,-113.39,35.41,0,178
140,-108.04,41.05,0,101
141,-109.01,39.21,0,101
142,-107.0,42.88,0,101
143,-111.69,44.72,0,101
144,-112.61,42.84,0,178
145,-109.81,42.9,0,101
146,-117.44,44.44,0,173
147,-118.21,42.52,0,173
148,-115.43,42.71,0,173
149,-123.1,43.87,0,173
150,-123.7,41.92,0,176
151,-120.97,42.25,0,173
152,-119.63,38.66,0,178
153,-117.01,38.89,0,178
154,-118.94,40.59,0,178
155,-111.68,39.17,0,178
156,-113.51,40.96,0,178
157,-114.35,39.06,0,178
158,-125.39,57.24,0,154
159,-121.77,57.61,0,101
160,-132.36,56.17,0,16111
161,-128.93,56.75,0,16101
162,-126.48,53.17,0,16101
163,-123.22,53.59,0,16113
164,-125.96,55.2,0,16101
165,-135.72,55.49,0,901
166,-124.42,49.56,0,16110
167,-126.97,51.12,0,16110
168,-127.41,49.09,0,173
169,-132.6,54.11,0,16110
170,-132.81,52.04,0,901
171,-129.68,52.65,0,16110
172,-111.61,50.49,0,101
173,-113.65,46.58,0,154
174,-110.67,46.66,0,101
175,-116.25,54.17,0,101
176,-113.84,52.36,0,101
177,-118.89,55.93,0,101
178,-120.55,51.93,0,16107
179,-119.77,53.93,0,154
180,-121.94,47.9,0,173
181,-121.28,49.91,0,16102
182,-122.55,45.89,0,173
183,-116.66,46.42,0,173
184,-119.61,46.19,0,173
185,-114.85,50.39,0,154
186,-118.09,50.2,0,16107
187,-115.79,48.41,0,154
188,-115.09,31.3,0,105
189,-118.59,34.72,0,101
190,-116.81,33.03,0,101
191,-122.42,38.05,0,176
192,-120.48,36.41,0,176
193,-124.46,39.65,0,901
194,-110.91,30.0,1,101
195,-120.92,59.62,1,101
196,-99.69,15.24,1,909
197,-163.23,57.16,1,16140
198,-135.65,57.56,1,16122
199,-148.28,63.0,1,16110
200,-107.35,37.36,1,101
201,-105.0,22.72,1,104
202,-90.0,15.45,1,211
203,-114.57,44.61,1,154
204,-117.73,36.98,1,178
205,-123.85,51.58,1,16101
206,-141.44,60.43,1,16121
207,-128.5,58.8,1,16106
208,-133.76,61.99,1,16106
209,-140.3,64.94,1,154
210,-165.43,61.56,1,18106
211,-156.42,60.29,1,18106
212,-157.78,64.8,1,18106
213,-105.31,41.0,1,101
214,-109.21,33.69,1,101
215,-105.76,30.74,1,101
216,-103.83,34.37,1,101
217,-112.48,26.29,1,105
218,-109.48,22.7,1,105
219,-107.86,26.39,1,104
220,-102.29,19.0,1,215
221,-106.63,19.02,1,901
222,-102.86,27.02,1,101
223,-97.48,19.41,1,215
224,-100.09,23.21,1,104
225,-94.85,15.4,1,208
226,-112.56,37.28,1,101
227,-114.18,33.54,1,101
228,-108.8,44.75,1,101
229,-110.76,41.04,1,101
230,-120.28,44.19,1,173
231,-121.61,40.3,1,178
232,-116.24,40.81,1,178
233,-129.31,54.71,1,16124
234,-122.54,55.61,1,154
235,-124.95,47.54,1,173
236,-130.02,50.59,1,903
237,-112.67,48.54,1,101
238,-117.21,52.2,1,154
239,-118.89,48.19,1,154
240,-159.28,56.54,1,16112
241,-161.92,55.22,1,16112
242,-167.31,57.65,1,16140
243,-139.02,56.79,1,901
244,-138.42,59.02,1,16123
245,-141.87,58.18,1,901
246,-144.72,61.76,1,16112
247,-148.28,60.75,1,16121
248,-144.96,59.51,1,16121
249,-132.14,58.23,1,16101
250,-131.0,60.42,1,16106
251,-134.77,59.77,1,16101
252,-124.76,59.26,1,101
253,-127.09,60.95,1,154
254,-132.6,64.19,1,154
255,-129.7,62.6,1,154
256,-139.55,67.17,1,154
257,-135.89,65.73,1,154
258,-148.28,65.25,1,16105
259,-144.43,64.02,1,16105
260,-144.09,66.27,1,154
261,-137.69,61.26,1,16104
262,-136.86,63.5,1,154
263,-140.91,62.68,1,16105
264,-164.26,59.37,1,16140
265,-166.78,63.75,1,43301
266,-155.91,58.05,1,16112
267,-159.98,58.77,1,18108
268,-152.53,61.7,1,18106
269,-152.25,59.46,1,16112
270,-153.28,66.22,1,18106
271,-152.88,63.98,1,18104
272,-162.96,65.45,1,43301
273,-160.84,61.0,1,18106
274,-157.05,62.55,1,18106
275,-161.82,63.23,1,18106
276,-106.36,39.18,1,101
277,-104.53,37.71,1,101
278,-108.3,35.53,1,101
279,-106.53,34.06,1,101
280,-105.56,35.88,1,101
281,-110.07,31.85,1,101
282,-108.34,30.4,1,101
283,-107.46,32.23,1,101
284,-103.16,31.04,1,101
285,-102.16,32.84,1,101
286,-104.81,32.56,1,101
287,-102.78,36.18,1,101
288,-111.71,28.15,1,104
289,-110.17,26.36,1,104
290,-109.36,28.2,1,104
291,-110.96,24.5,1,105
292,-107.24,22.72,1,104
293,-106.41,24.56,1,104
294,-108.68,24.55,1,104
295,-105.28,17.17,1,909
296,-107.43,17.17,1,901
297,-100.98,17.12,1,215
298,-103.12,17.16,1,909
299,-103.62,20.86,1,104
300,-105.83,20.87,1,104
301,-104.46,19.02,1,215
302,-110.26,20.83,1,901
