conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_ortho,"subducting_abs_paral
",Label
11.28,-1.05,-2.56,-4.18,8.72,-5.22,0
3.51,-0.97,-1.37,-3.67,2.17,-4.64,0
11.81,-3.54,-3.54,3.71,8.26,0.14,0
11.48,10.95,-3.5,-5.32,8.01,5.6,0
-1.5,-3.46,-2.84,-0.27,-4.34,-3.74,0
8.52,0.6,-3.09,-5.98,5.44,-5.41,0
6.09,-8.6,-1.45,3.46,4.61,-5.16,0
10.27,2.51,-2.36,-4.35,7.89,-1.83,0
14.98,5.31,-5.39,-3.37,9.6,1.9,0
10.26,2.5,-2.31,-4.38,7.94,-1.88,0
7.35,5.65,0.52,-5.26,7.89,0.42,0
12.78,-4.32,-5.59,-1.9,7.18,-6.22,0
8.9,4.4,-1.82,-4.97,7.09,-0.6,0
11.82,-3.54,-3.53,3.71,8.27,0.14,0
8.89,4.53,-1.85,-4.97,7.06,-0.47,0
5.49,-2.28,-1.61,-0.8,3.89,-3.08,0
2.3,1.03,1.63,-4.08,3.93,-3.06,0
5,6.71,1.22,-4.13,6.2,2.59,0
9.19,1.99,-0.85,-1.74,8.35,0.25,0
14.88,5.36,-5.39,-3.45,9.51,1.87,0
14.21,1.99,-1.99,-4.58,12.22,-2.59,0
10.94,1.19,-2.45,-2.1,8.49,-0.93,0
13.57,3.69,-1.85,-4.64,11.71,-0.94,0
10.67,-1.69,-1.86,-1.86,8.83,-3.54,0
2.27,1.03,1.66,-4.08,3.93,-3.06,0
16.89,1.09,-3.44,-3.02,13.47,-1.94,0
1.3,2.54,1.02,-3.53,2.34,-0.98,0
7.06,5.26,0.57,-5.28,7.65,0.01,0
6.03,-1.36,-1.71,-1.11,4.33,-2.46,0
6.68,-6.18,-4.65,-1.7,2.02,-7.86,0
8.78,4.47,-1.44,-4.97,7.35,-0.53,0
10.94,1.13,-2.44,-2.12,8.51,-1,0
11.58,7.19,-0.89,-2.37,10.69,4.84,0
11.02,1.48,-2.23,-2.19,8.8,-0.72,0
1.04,2.08,-4.53,-0.74,-3.47,1.33,0
7.62,5.74,0.45,-5.25,8.09,0.52,0
10.45,-4.19,-2.81,3.84,7.63,-0.38,0
4.96,6.87,0.72,-4.1,5.65,2.78,0
12.27,-1.07,-4.57,-3.23,7.67,-4.31,0
8.09,0.66,-1.54,-1.7,6.53,-1.03,0
9.95,1.52,-0.97,-1.7,8.99,-0.18,0
8.69,4.14,-1.07,-4.94,7.62,-0.83,0
13.53,0.83,-2.99,-2.22,10.54,-1.41,0
5.94,6.46,2.55,-6.42,8.51,0.03,0
