conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_ortho,"subducting_abs_paral
",label
8.83,-2.6,0.0,0.0,8.83,-2.6,False
1.07,5.56,0.98,-0.09,2.02,5.47,False
-0.02,0.28,1.07,-3.18,1.05,-2.9,False
3.24,-1.0,0.0,0.0,3.24,-1.0,False
5.63,3.86,0.0,0.0,5.63,3.86,False
9.99,3.42,-2.45,-1.41,7.53,2.05,False
7.99,-4.94,-1.92,0.22,6.07,-4.73,False
5.37,3.56,0.0,0.0,5.37,3.56,False
8.55,3.04,-0.75,-2.41,7.78,0.66,False
5.63,3.74,0.0,0.0,5.63,3.74,False
8.58,2.95,-0.72,-2.4,7.85,0.57,False
7.8,6.21,-0.78,-2.19,7.02,4.02,False
6.69,0.41,-5.07,0.81,1.63,1.22,False
10.52,-1.31,-2.17,-2.01,8.34,-3.3,False
5.69,3.14,0.0,0.0,5.69,3.14,False
4.3,-0.37,-4.0,0.47,0.3,0.11,False
3.3,-1.0,0.0,0.0,3.3,-1.0,False
5.69,3.14,0.0,0.0,5.69,3.14,False
1.92,0.86,0.0,0.0,1.92,0.86,False
-0.49,2.32,0.0,0.0,-0.49,2.32,False
4.77,6.89,-0.33,-2.89,4.46,4.0,False
9.7,-0.53,-1.45,-1.26,8.25,-1.79,False
5.6,3.88,0.0,0.0,5.6,3.88,False
12.79,11.78,-1.21,-7.33,11.6,4.4,False
5.96,-0.51,0.0,0.0,5.96,-0.51,False
12.89,1.09,-1.51,-2.15,11.38,-1.03,False
1.81,2.11,0.0,0.0,1.81,2.11,False
-0.5,2.32,0.0,0.0,-0.5,2.32,False
3.61,3.52,0.0,0.0,3.61,3.52,False
4.26,6.7,-0.61,-3.39,3.68,3.31,False
2.29,-5.85,-0.07,2.73,2.21,-3.13,False
7.68,5.92,-0.71,-2.13,6.98,3.79,False
5.18,0.37,-2.58,-0.38,2.6,-0.02,False
1.96,0.86,0.0,0.0,1.96,0.86,False
2.0,4.59,-0.1,-0.49,1.9,4.1,False
5.63,3.1,0.0,0.0,5.63,3.1,False
5.96,-0.52,0.0,0.0,5.96,-0.52,False
2.78,1.59,0.0,0.0,2.78,1.59,False
3.98,-1.33,-0.28,-0.28,3.71,-1.6,False
5.26,3.71,0.0,0.0,5.26,3.71,False
7.94,6.38,-0.75,-2.22,7.2,4.17,False
2.21,-5.85,0.01,2.73,2.21,-3.13,False
