conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_ortho,"subducting_abs_paral
",label
6.81,1.23,-0.3,-0.67,6.49,0.62,True
9.16,-5.95,-1.69,-1.11,7.47,-7.02,True
14.66,9.68,-2.23,-2.37,12.43,7.3,True
9.12,0.03,-3.68,-1.89,5.44,-1.87,True
9.28,2.98,-1.75,-0.89,7.52,2.11,True
0.22,-2.73,-2.37,-0.33,-2.15,-3.06,True
12.95,2.96,-2.34,-1.16,10.61,1.79,True
15.22,4.91,-4.15,-0.85,11.07,4.05,True
10.64,-2.41,-4.27,0.6,6.38,-1.78,True
13.28,1.26,-4.3,-2.15,8.98,-0.89,True
9.36,0.16,-2.69,-1.63,6.68,-1.48,True
4.11,-0.89,-1.8,-0.23,2.31,-1.12,True
6.84,-2.71,-2.41,-0.32,4.42,-3.01,True
10.28,-1.01,-2.94,-1.1,7.34,-2.11,True
15.67,-0.04,-4.3,0.44,11.37,0.39,True
5.08,-4.3,-2.35,0.3,2.73,-3.98,True
12.65,-1.14,-4.3,0.45,8.35,-0.68,True
9.54,-0.83,-2.84,-1.35,6.7,-2.18,True
9.48,0.16,-2.69,-1.63,6.8,-1.48,True
8.99,2.25,-1.33,-1.18,7.67,1.06,True
15.75,0.52,-4.33,0.29,11.42,0.8,True
9.3,-0.94,-2.83,-1.36,6.47,-2.3,True
13.29,1.25,-4.25,-2.02,9.04,-0.77,True
9.38,-0.76,-3.83,-1.57,5.55,-2.34,True
11.9,1.2,-3.82,-1.58,8.08,-0.39,True
11.9,1.2,-3.82,-1.58,8.08,-0.39,True
9.38,-0.76,-2.8,-1.41,6.59,-2.18,True
10.26,-1.01,-2.94,-1.1,7.33,-2.11,True
9.33,-0.94,-2.83,-1.36,6.5,-2.3,True
9.34,-0.94,-2.83,-1.36,6.51,-2.3,True
8.67,-3.65,-4.19,1.13,4.49,-2.49,True
12.88,2.74,-3.64,-1.97,9.24,0.77,True
13.38,3.04,-4.16,-2.27,9.22,0.77,True
12.16,1.44,-3.63,-2.02,8.53,-0.58,True
3.9,-4.55,-2.35,0.27,1.55,-4.27,True
13.08,2.15,-3.62,-1.99,9.46,0.16,True
13.11,2.16,-3.63,-1.98,9.48,0.18,True
13.46,1.13,-4.34,-1.91,9.12,-0.77,True
13.55,2.03,-2.44,-0.34,11.1,1.73,True
-26.19,-40.57,35.64,37.46,9.9,-1.89,True
13.39,1.09,-4.31,-1.95,9.09,-0.86,True
3.75,-1.18,0.02,-0.26,3.78,-1.43,True
4.87,0.1,-2.61,-1.21,2.25,-1.13,True
3.98,-1.49,-1.82,0.05,2.16,-1.44,True
2.66,1.2,-2.66,-1.2,0.0,0.0,True
4.0,-1.49,-1.82,0.05,2.18,-1.44,True
6.95,0.59,-5.66,-0.32,1.29,0.27,True
10.58,6.45,-2.3,-1.68,8.26,4.8,True
10.3,-1.38,-3.02,-1.05,7.26,-2.39,True
10.36,-1.38,-3.03,-1.05,7.32,-2.39,True
6.97,0.82,-5.7,-0.6,1.28,0.21,True
7.8,-4.52,-1.47,-0.07,6.32,-4.6,True
5.69,6.92,-0.52,-3.0,5.18,3.92,True
13.6,0.86,-2.85,-0.3,10.75,0.61,True
10.37,0.56,-2.26,-1.82,8.11,-1.27,True
5.77,-3.25,0.24,2.73,6.0,-0.54,True
2.05,-5.83,0.16,2.72,2.2,-3.11,True
0.45,2.47,-0.15,-0.15,0.3,2.31,True
2.11,0.97,-0.1,-0.18,2.0,0.8,True
2.18,0.75,0.55,-0.95,2.73,-0.19,True
7.38,2.54,-5.27,-1.48,2.1,1.08,True
6.82,-1.01,-2.0,-0.19,4.82,-1.18,True
9.64,3.91,-1.54,-2.46,8.11,1.45,True
6.75,-3.04,-2.87,0.42,3.88,-2.59,True
2.16,2.77,0.22,-0.24,2.39,2.52,True
10.41,0.81,-2.86,-0.46,7.54,0.39,True
9.71,3.84,-1.53,-2.46,8.18,1.37,True
4.33,-1.22,-1.83,-0.06,2.5,-1.28,True
1.98,1.06,-0.01,-0.18,1.97,0.89,True
2.03,0.93,0.69,-0.9,2.72,0.04,True
1.66,4.14,0.07,-0.16,1.72,3.98,True
6.32,0.89,-5.05,-0.54,1.27,0.34,True
0.18,2.5,-0.05,-0.16,0.12,2.34,True
