index,lon,lat,age,plate_id
0,-92.33,15.32,151,224
1,-98.75,20.25,103,101
2,-101.98,18.94,218,101
3,-104.4,29.81,168,101
4,-106.59,37.43,117,101
5,-106.93,37.85,24,101
6,-107.33,26.25,188,101
7,-107.35,25.67,163,101
8,-107.7,27.03,97,101
9,-108.12,32.81,114,101
10,-108.23,26.72,99,101
11,-108.8,33.4,190,101
12,-109.28,43.09,97,101
13,-109.34,33.09,106,101
14,-109.63,30.34,157,101
15,-109.68,44.03,81,101
16,-109.73,30.38,168,101
17,-109.75,30.48,159,101
18,-109.8,28.41,139,101
19,-109.91,31.43,142,101
20,-110.03,32.09,203,101
21,-110.45,31.12,173,101
22,-110.46,31.77,118,101
23,-110.74,33.42,88,101
24,-110.9,33.34,153,101
25,-110.94,33.33,93,101
26,-110.95,33.4,131,101
27,-111.02,31.97,142,101
28,-111.03,31.88,124,101
29,-111.07,31.98,217,101
30,-111.33,43.08,165,101
31,-111.42,33.12,198,101
32,-111.58,33.11,5,101
33,-111.88,32.52,139,101
34,-112.36,47.03,101,101
35,-112.58,34.51,158,101
36,-112.85,32.36,151,101
37,-113.17,34.58,126,101
38,-113.3,38.48,151,101
39,-113.57,28.03,160,901
40,-114.15,35.37,193,101
41,-114.77,41.77,165,101
42,-115.48,39.22,203,101
43,-116.68,40.6,108,101
44,-116.79,37.01,44,101
45,-116.8,41.24,173,101
46,-117.04,40.61,159,101
47,-117.08,38.7,81,101
48,-117.08,40.69,189,101
49,-117.12,40.56,209,101
50,-117.22,40.42,93,101
51,-117.37,49.88,156,101
52,-117.5,38.33,101,101
53,-117.75,40.27,198,101
54,-118.6,49,145,101
55,-119.24,39.05,124,101
56,-119.27,38.96,99,101
57,-120.01,49.88,87,101
58,-120.11,38,37,101
59,-120.11,38,209,101
60,-120.85,40.2,145,101
61,-120.98,48.2,217,101
62,-121,50.49,138,101
63,-121.37,47.5,12,101
64,-121.42,50.92,168,101
65,-121.5,48.01,154,101
66,-121.58,52.5,185,101
67,-121.64,47.68,160,101
68,-122.64,40.7,139,101
69,-122.64,40.7,1,101
70,-122.78,50.76,13,101
71,-123.45,51.08,187,101
72,-123.46,52.4,43,101
73,-123.62,51.45,41,101
74,-124.54,55.26,45,101
75,-125.3,55.5,209,101
76,-126.16,54.95,101,101
77,-126.17,55.25,152,101
78,-126.32,55.19,185,101
79,-126.33,54.75,44,101
80,-126.76,57.06,159,101
81,-127.05,53.07,179,101
82,-127.17,53.68,92,101
83,-127.23,53.53,101,101
84,-127.86,50.67,155,101
85,-129.17,58.5,103,101
86,-131,57.35,118,101
87,-131.09,56.67,156,101
88,-131.13,56.67,72,101
89,-131.34,57.12,216,101
90,-135.84,64.03,214,101
91,-136.23,63.78,216,101
92,-137.27,63.78,76,101
93,-138.08,64.34,165,101
94,-138.92,63.87,168,101
95,-141.21,62.11,153,101
96,-142.84,62.21,13,101
97,-145.21,61.82,159,101
98,-147.36,65,216,101
99,-157.05,64.13,12,101
100,-158.4,56.52,145,101
101,-160.67,55.62,118,101
102,-163.7,64.89,81,101
103,-164.25,65.33,137,101
104,-131.09,56.67,141,101
105,-149.8,63.05,94,101
106,-122.7,40.66,166,101
107,-117.54,41.79,48,101
108,-147.99,64.86,103,101
109,-108.07,32.81,104,101
110,-108.37,32.63,139,101
111,-110.73,33.07,179,101
112,-110.97,33.16,128,101
113,-117.21,37.67,156,101
114,-117.22,38.08,160,101
115,-117.97,38.75,155,101
116,-119.62,39.27,98,101
117,-120.4,50.6,126,101
118,-120.51,50.66,5,101
119,-122.08,46.36,37,101
120,-126.22,55,106,101
121,-141.32,63.52,148,101
122,-155.3,59.9,93,101
123,-122.36,38.84,95,101
124,-102.03,19.08,95,101
125,-102.85,23.15,43,101
126,-110.48,32.75,96,101
127,-110.67,32.67,211,101
128,-114.42,35.11,93,101
129,-115,39.26,132,101
130,-118.05,41.33,113,101
131,-125.53,55.92,45,101
132,-126.75,57.01,1,101
133,-133.68,59.57,102,101
134,-138.83,62.74,131,101
135,-108.76,38.3,116,101
136,-109.66,28.39,113,101
137,-111.5,32.4,138,101
138,-112.12,39.86,158,101
139,-120.38,48.61,144,101
140,-120.56,49.34,153,101
141,-120.84,39.47,129,101
142,-121.05,39.22,92,101
143,-121.23,39.41,158,101
144,-122.6,51.13,168,101
145,-124.5,54.45,98,101
146,-126.97,54.02,96,101
147,-127.21,53.75,88,101
148,-130.25,56.5,87,101
149,-130.27,56.47,153,101
150,-117.98,40.82,198,101
151,-107.61,37.9,102,101
152,-101.26,21.02,219,101
153,-101.64,18.88,1,101
154,-105.93,24.1,80,101
155,-109.5,30.3,163,101
156,-110.72,31.49,80,101
157,-111,33.38,106,101
158,-111.12,31.87,185,101
159,-111.4,40.62,218,101
160,-111.8,32.96,81,101
161,-119.2,38.98,1,101
162,-127.48,50.6,141,101
163,-133.43,57.8,122,101
164,-134.38,58.27,216,101
165,-134.58,58.37,131,101
166,-135.08,58.86,165,101
167,-108.09,37.41,152,101
168,-109.6,44.03,129,101
169,-110.32,30.95,80,101
170,-115.13,35.48,152,101
171,-122.78,50.76,160,101
172,-124.07,55.13,99,101
173,-127.37,53.8,126,101
174,-131.45,57.12,213,101
175,-144.9,64.45,93,101
176,-110.76,31.83,157,101
177,-110.76,31.83,102,101
178,-111.95,32.87,134,101
179,-111.95,32.87,198,101
180,-112.14,40.54,131,101
181,-112.14,40.54,116,101
182,-158.2,62.04,13,101
183,-158.2,62.04,95,101
184,-108.74,28.65,213,101
185,-108.74,28.65,165,101
186,-112.53,46.02,188,101
187,-112.53,46.02,106,101
188,-126.89,54.81,123,101
189,-126.89,54.81,123,101
190,-147.35,65.07,219,101
191,-147.35,65.07,96,101
192,-154.31,60.35,184,101
193,-154.31,60.35,153,101
194,-135.9,57.86,24,101
195,-135.9,57.86,203,101
196,-146.35,61.13,41,101
197,-146.35,61.13,88,101
198,-148.01,60.85,45,101
199,-148.01,60.85,184,101
200,-149.16,60.95,145,101
201,-149.16,60.95,163,101
202,-149.37,60.49,76,101
203,-149.37,60.49,131,101
204,-149.53,60.88,114,101
205,-149.53,60.88,204,101
206,-150.67,59.36,95,101
207,-150.67,59.36,134,101
208,-109.6,32.93,154,101
209,-109.6,32.93,124,101
210,-111.22,33.04,123,101
211,-111.22,33.04,166,101
212,-111.22,33.04,114,101
213,-121.04,50.45,131,101
214,-121.04,50.45,187,101
215,-121.04,50.45,12,101
216,-129.82,59.28,108,101
217,-129.82,59.28,146,101
218,-129.82,59.28,216,101
219,-138.92,63.87,137,101
220,-138.92,63.87,137,101
221,-138.92,63.87,48,101
222,-115.34,44.93,151,101
223,-115.34,44.93,128,101
224,-115.34,44.93,22,101
225,-115.44,45.82,112,101
226,-115.44,45.82,95,101
227,-115.44,45.82,80,101
228,-115.7,45.62,146,101
229,-115.7,45.62,173,101
230,-115.7,45.62,119,101
231,-116.17,43.55,145,101
232,-116.17,43.55,138,101
233,-116.17,43.55,165,101
234,-121.03,50.48,81,101
235,-121.03,50.48,12,101
236,-121.03,50.48,159,101
237,-108.08,32.85,165,101
238,-108.08,32.85,119,101
239,-108.08,32.85,217,101
240,-122.27,52.5,146,101
241,-122.27,52.5,81,101
242,-122.27,52.5,101,101
243,-129.78,57.7,213,101
244,-129.78,57.7,104,101
245,-129.78,57.7,113,101
246,-129.78,57.7,49,101
247,-120.84,39.47,160,101
248,-120.84,39.47,187,101
249,-120.84,39.47,92,101
250,-120.84,39.47,116,101
251,-121.05,39.22,43,101
252,-121.05,39.22,97,101
253,-121.05,39.22,5,101
254,-121.05,39.22,198,101
255,-121.23,39.41,145,101
256,-121.23,39.41,37,101
257,-121.23,39.41,37,101
258,-121.23,39.41,119,101
259,-125.43,55.93,218,101
260,-125.43,55.93,49,101
261,-125.43,55.93,98,101
262,-125.43,55.93,99,101
263,-125.43,55.93,190,101
264,-109.82,29.81,49,101
265,-109.82,29.81,49,101
266,-109.82,29.81,188,101
267,-109.82,29.81,163,101
268,-109.82,29.81,179,101
