index,lon,lat,age,plate_id
0,-108.08,37.4,28,101
1,-121.744,47.164,63,173
2,-121.828,47.155,16,173
3,-121.825,47.155,111,173
4,-121.861,47.15600000000001,141,173
5,-113.58,39.71,65,178
6,-122.914,42.6151,121,173
7,-122.907,42.6098,44,173
8,-122.876,42.6094,116,173
9,-122.88,42.5805,45,173
10,-122.268,44.7507,120,173
11,-122.256,44.7918,99,173
12,-105.128,38.7292,165,101
13,-105.134,38.7376,166,101
14,-105.13,38.7,29,101
15,-107.522,32.9806,143,101
16,-107.558,32.9458,125,101
17,-107.531,32.9672,56,101
18,-107.534,32.9661,192,101
19,-107.533,32.9661,169,101
20,-107.533,32.9664,155,101
21,-107.529,32.9772,115,101
22,-107.55,32.9381,161,101
23,-107.53,32.9681,136,101
24,-107.546,32.9686,83,101
25,-107.54,32.9258,76,101
26,-107.511,32.9947,94,101
27,-107.546,32.935,182,101
28,-107.523,32.9803,79,101
29,-107.538,32.9664,130,101
30,-107.531,32.9933,24,101
31,-107.556,32.9569,101,101
32,-107.534,32.9664,144,101
33,-107.554,32.9422,19,101
34,-107.557,32.945,81,101
35,-107.543,32.9444,140,101
36,-105.109,37.5747,160,101
37,-105.119,37.5725,22,101
38,-105.134,36.9508,48,101
39,-105.051,37.2142,45,101
40,-105.184,36.7852,89,101
41,-105.165,36.9381,177,101
42,-105.103,37.015,191,101
43,-104.492,36.9272,174,101
44,-104.492,36.9272,122,101
45,-105.106,37.3678,29,101
46,-105.036,37.2539,124,101
47,-104.492,36.9272,142,101
48,-105.044,37.2575,67,101
49,-105.044,37.2575,16,101
50,-105.029,37.2406,152,101
51,-105.033,37.2375,173,101
52,-105.008,37.0558,122,101
53,-104.591,36.9906,217,101
54,-105.066,37.5222,67,101
55,-105.091,37.53,166,101
56,-105.019,37.1558,159,101
57,-105.03,37.4722,95,101
58,-105.043,37.0892,48,101
59,-105.033,37.1239,84,101
60,-105.042,37.2536,44,101
61,-105.048,37.2661,224,101
62,-105.094,37.4639,100,101
63,-105.061,37.3281,13,101
64,-104.468,36.9433,36,101
65,-104.585,36.8986,21,101
66,-105.025,37.1494,68,101
67,-105.021,37.0781,193,101
68,-104.483,37.0428,59,101
69,-104.416,36.9428,127,101
70,-105.224,36.9381,62,101
71,-105.188,36.9789,227,101
72,-105.195,36.9786,127,101
73,-105.191,36.9797,188,101
74,-105.208,36.9389,107,101
75,-105.222,36.9342,25,101
76,-105.191,36.9797,106,101
77,-105.265,36.9881,97,101
78,-105.268,37.0011,52,101
79,-105.268,37.0106,79,101
80,-105.271,37.0256,152,101
81,-105.196,36.985,121,101
82,-105.197,36.9853,198,101
83,-105.227,37.0292,195,101
84,-105.244,37.0381,41,101
85,-105.232,37.0381,174,101
86,-105.34,37.0647,77,101
87,-105.34,37.0647,110,101
88,-105.348,37.0714,13,101
89,-105.367,37.3203,137,101
90,-105.428,37.2111,157,101
91,-105.438,37.2661,79,101
92,-105.066,37.0303,114,101
93,-104.786,37.1244,18,101
94,-104.459,36.9017,30,101
95,-122.928,42.8025,117,173
96,-122.926,42.7672,225,173
97,-122.888,42.7712,10,173
98,-122.866,42.56800000000001,32,173
99,-122.939,42.749,150,173
100,-122.904,42.688,74,173
101,-111.782,24.3967,67,105
102,-116.365,40.9691,13,178
103,-116.305,40.8609,93,178
104,-98.3,18.3,169,215
105,-111.83,24.45,65,105
106,-110.293,43.9328,140,101
107,-110.352,43.9372,95,101
108,-110.353,43.9386,21,101
109,-110.37,44.0236,16,101
110,-110.296,43.9283,33,101
111,-110.295,43.9289,204,101
112,-110.294,43.9292,124,101
113,-110.32,43.9514,170,101
114,-110.319,43.9517,37,101
115,-110.319,43.9519,5,101
116,-110.318,43.9522,17,101
117,-110.413,43.9444,173,101
118,-110.423,43.9283,104,101
119,-110.422,43.9258,22,101
120,-110.421,43.9261,79,101
121,-110.531,44.0133,13,101
122,-110.532,44.0136,229,101
123,-110.547,44.0039,108,101
124,-110.497,43.9639,155,101
125,-110.51,43.9514,30,101
126,-110.514,44.0167,38,101
127,-110.514,44.0169,117,101
128,-110.516,44.0186,70,101
129,-110.516,44.0189,186,101
130,-110.502,44.02,165,101
131,-110.531,43.9911,126,101
132,-110.532,44.0336,189,101
133,-110.538,44.0414,188,101
134,-110.414,43.945,7,101
135,-110.414,43.9236,144,101
136,-110.288,44.1328,133,101
137,-110.318,43.9147,197,101
138,-110.394,43.9542,158,101
139,-110.394,43.9536,111,101
140,-110.393,43.9531,62,101
141,-110.393,43.9528,195,101
142,-110.393,43.9525,181,101
143,-110.393,43.9522,211,101
144,-110.393,43.9519,150,101
145,-110.392,43.9517,83,101
146,-110.391,43.9503,131,101
147,-110.391,43.95,83,101
148,-110.391,43.9497,71,101
149,-110.39,43.9492,159,101
150,-110.39,43.9483,134,101
151,-110.389,43.9483,105,101
152,-110.335,43.9914,133,101
153,-110.317,44.0294,178,101
154,-110.351,43.9597,126,101
155,-110.35,43.96,20,101
156,-110.35,43.9603,126,101
157,-110.366,43.9606,4,101
158,-110.365,43.9608,229,101
159,-110.364,43.9614,226,101
160,-110.361,43.9639,201,101
161,-110.358,43.9642,73,101
162,-110.357,43.9642,103,101
163,-110.356,43.9644,204,101
164,-110.314,43.9828,70,101
165,-110.314,43.9825,148,101
166,-110.314,43.9822,138,101
167,-110.319,43.9842,8,101
168,-110.318,43.9689,38,101
169,-110.317,43.9853,128,101
170,-110.317,43.985,59,101
171,-110.429,43.9753,43,101
172,-110.43,43.9758,29,101
173,-110.432,43.9783,119,101
174,-110.436,43.9786,143,101
175,-110.446,44.0133,13,101
176,-110.467,43.9958,52,101
177,-110.466,43.9961,141,101
178,-110.372,44.0586,149,101
179,-115.946,47.5381,18,154
180,-115.93,47.5247,10,154
181,-115.93,47.5258,74,154
182,-142.461,64.9778,214,16105
183,-115.859,47.5378,113,154
184,-115.88,47.5347,175,154
185,-115.864,47.5347,103,154
186,-115.866,47.5336,26,154
187,-115.872,47.5283,45,154
188,-115.87,47.5306,37,154
189,-115.863,47.5328,43,154
190,-115.859,47.5358,21,154
191,-115.857,47.5356,55,154
192,-115.851,47.5381,134,154
193,-115.851,47.5386,220,154
194,-115.844,47.5436,127,154
195,-115.844,47.5444,170,154
196,-115.842,47.5456,167,154
197,-115.84,47.5456,133,154
198,-115.838,47.5447,184,154
199,-115.836,47.5447,30,154
200,-115.834,47.5456,57,154
201,-115.837,47.5586,12,154
202,-115.867,47.5406,110,154
203,-115.822,47.5594,86,154
204,-115.82,47.5575,189,154
205,-115.879,47.5042,25,154
206,-109.958,45.0828,118,101
207,-109.955,45.0786,159,101
208,-109.957,45.0794,15,101
209,-109.943,45.0736,139,101
210,-109.954,45.0614,165,101
211,-109.925,45.0133,103,101
212,-109.946,45.0558,16,101
213,-109.943,45.0672,113,101
214,-109.94,45.0694,187,101
215,-109.944,45.0594,126,101
216,-109.946,45.0578,180,101
217,-109.953,45.0342,150,101
218,-109.956,45.0619,64,101
219,-109.949,45.0844,206,101
220,-109.975,45.0733,10,101
221,-109.974,45.0708,173,101
222,-109.957,45.0819,31,101
223,-109.949,45.0797,102,101
224,-109.951,45.0789,44,101
225,-109.958,45.0772,58,101
226,-109.954,45.0722,188,101
227,-109.952,45.0731,83,101
228,-109.944,45.0728,155,101
229,-109.938,45.0747,161,101
230,-109.949,45.0764,4,101
231,-109.953,45.0764,208,101
232,-109.924,45.0694,126,101
233,-109.956,45.0681,177,101
234,-109.957,45.0672,95,101
235,-109.951,45.0744,154,101
236,-109.953,45.0378,127,101
237,-109.936,45.0753,12,101
238,-109.934,45.0767,26,101
239,-109.936,45.0778,161,101
240,-109.94,45.0722,79,101
241,-109.943,45.0722,125,101
242,-109.946,45.0572,49,101
243,-109.947,45.0589,53,101
244,-109.908,45.1242,40,101
245,-109.918,45.1056,96,101
246,-109.956,45.0714,152,101
247,-110.335,43.9908,212,101
248,-110.411,43.9583,203,101
249,-110.446,44.0133,59,101
250,-110.466,43.9961,92,101
251,-110.465,43.995,83,101
252,-110.464,43.9944,21,101
253,-110.473,43.9919,102,101
254,-110.488,43.9967,23,101
255,-110.488,44.0467,158,101
256,-110.489,44.0447,5,101
257,-110.489,44.0422,217,101
258,-110.486,44.0375,196,101
259,-110.386,44.0633,171,101
260,-110.396,44.0678,21,101
261,-110.359,44.1244,137,101
262,-110.356,44.1194,210,101
263,-110.347,44.1056,229,101
264,-110.356,44.1056,90,101
265,-110.342,44.0942,184,101
266,-110.365,43.9228,62,101
267,-110.365,44.9233,94,101
268,-110.364,43.9239,167,101
269,-110.364,43.9217,94,101
270,-110.369,43.9206,32,101
271,-110.365,43.915,85,101
272,-110.364,43.9158,226,101
273,-110.363,43.9172,79,101
274,-110.371,43.8978,17,101
275,-110.371,43.9003,162,101
276,-110.349,43.8972,61,101
277,-110.414,43.9461,25,101
278,-110.378,44.1361,159,101
279,-110.532,44.0139,172,101
280,-110.426,43.8294,50,101
281,-143.989,61.66,130,16110
282,-143.592,61.4797,156,16110
283,-109.7,44.8,128,101
284,-110.096,45.1492,156,101
285,-110.094,45.1503,82,101
286,-110.091,45.1519,207,101
287,-110.214,45.2144,68,101
288,-110.092,45.15,101,101
289,-110.084,45.1508,194,101
290,-110.082,45.15,15,101
291,-110.067,45.1511,134,101
292,-110.085,45.1486,217,101
293,-110.082,45.1478,220,101
294,-109.963,45.0506,83,101
295,-110.967,45.0592,156,101
296,-110.967,45.0506,115,101
297,-110.992,45.0542,224,101
298,-109.955,45.0736,68,101
299,-110.258,45.0408,172,101
300,-110.026,45.0861,82,101
301,-109.92,45.065,89,101
302,-109.929,45.08,104,101
303,-109.881,45.1189,50,101
304,-109.908,45.0947,175,101
305,-109.951,45.0517,169,101
306,-109.906,45.1158,31,101
307,-109.901,45.1164,223,101
308,-117.379,40.9844,154,178
309,-115.942,47.5275,10,154
310,-115.94,47.5258,132,154
311,-115.939,47.5256,217,154
312,-115.937,47.525,90,154
313,-115.939,47.5261,176,154
314,-115.94,47.5297,223,154
315,-115.929,47.5411,172,154
316,-115.929,47.5417,218,154
317,-115.911,47.5367,110,154
318,-115.916,47.5372,128,154
319,-115.918,47.5422,218,154
320,-116.917,35.0,150,101
321,-114.083,33.9333,10,101
322,-112.75,33.8333,165,101
323,-114.883,33.2,17,101
324,-107.821,37.7797,129,101
325,-107.822,37.7814,121,101
326,-107.805,37.7894,27,101
327,-107.801,37.7875,198,101
328,-107.82,37.7897,98,101
329,-107.823,37.7842,209,101
330,-107.826,37.7764,120,101
331,-107.828,37.7764,202,101
332,-107.774,37.8206,11,101
333,-107.773,37.8211,130,101
334,-107.804,37.7519,67,101
335,-107.804,37.7528,109,101
336,-107.805,37.7544,205,101
337,-107.788,37.8511,111,101
338,-107.803,37.8522,132,101
339,-107.776,37.8547,176,101
340,-107.804,37.8464,162,101
