conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_ortho,"subducting_abs_paral
",Label
6.81,1.23,-2.1,-0.73,4.69,0.57,1
4.22,6.67,-1.54,-1.91,2.67,4.77,1
12.54,12.19,-1.68,-2.48,10.86,9.7,1
9.08,-1.26,-4.2,-0.24,4.88,-1.51,1
-1.98,-3.09,-3.1,0.5,-5.08,-2.61,1
9.56,4.73,-2.01,-1.39,7.55,3.35,1
13.26,1.02,-2.17,-1.3,11.09,-0.29,1
15.17,5.03,-3.21,0.45,11.97,5.46,1
11.14,-0.29,-3.08,0.92,8.07,0.64,1
13.21,-2.17,-3.53,-1.24,9.67,-3.42,1
9.37,-0.43,-1.6,-0.27,7.77,-0.71,1
10.02,-2.43,-1.46,0.14,8.55,-2.3,1
15.67,-0.05,-2.85,1.41,12.82,1.34,1
12.65,-1.14,-2.84,1.41,9.81,0.26,1
9.39,-1.95,-1.51,-0.01,7.88,-1.97,1
9.49,-0.39,-1.55,-0.27,7.94,-0.67,1
5.68,6.64,2.4,-6.33,8.1,0.3,1
15.66,-1.7,-2.66,1.69,13.0,-0.02,1
8.89,-2.97,-1.48,0.15,7.4,-2.83,1
13.2,-2.19,-3.54,-1.22,9.67,-3.41,1
9.34,0.91,-4.05,-1.2,5.29,-0.29,1
11.48,3.29,-4.05,-1.21,7.43,2.07,1
11.48,3.29,-4.05,-1.21,7.43,2.07,1
9.34,0.91,-1.4,-0.46,7.94,0.44,1
10.02,-2.43,-1.46,0.14,8.55,-2.3,1
8.9,-2.97,-1.47,0.15,7.43,-2.83,1
8.9,-2.97,-1.47,0.15,7.43,-2.83,1
12.63,3.72,-4.04,-1.22,8.59,2.5,1
13.1,4.06,-2.79,-2.49,10.31,1.57,1
12.02,2.36,-4.02,-1.27,7.99,1.09,1
1.73,-5.11,-1.85,0.16,-0.13,-4.94,1
12.89,3.14,-4.03,-1.25,8.85,1.9,1
12.92,3.15,-4.04,-1.24,8.88,1.92,1
13.06,3.39,-2.77,-2.51,10.29,0.88,1
10.3,6.01,-2.0,-1.4,8.29,4.62,1
14.4,-2.19,-5.63,-2.79,8.76,-4.98,1
12.06,6.01,-2.15,-3.06,9.91,2.95,1
11.13,0.59,-2.27,-2.02,8.86,-1.45,1
-0.68,-4.35,-2.6,-0.09,-3.29,-4.45,1
3.99,-1.09,-2.56,0.39,1.43,-0.7,1
0.04,-4.49,-2.42,0.15,-2.38,-4.35,1
4.02,-1.09,-2.55,0.39,1.46,-0.7,1
14.32,-0.49,-2.87,-4.08,11.44,-4.57,1
11.16,2.1,-2.32,-0.43,8.84,1.69,1
10.54,1.36,-2.38,-1.4,8.14,-0.01,1
10.54,1.36,-2.38,-1.4,8.14,-0.01,1
14.12,-0.87,-2.81,-4.13,11.3,-5.0,1
8.79,0.75,-1.87,-6.62,6.91,-5.89,1
4.96,6.87,0.71,-4.1,5.65,2.78,1
8.37,1.21,-3.49,-3.03,4.88,-1.79,1
10.83,-0.02,-3.21,-0.63,7.61,-0.69,1
11.84,-4.04,-2.88,3.84,8.96,-0.23,1
1.47,1.23,2.89,-3.43,4.36,-2.21,1
2.33,1.53,0.5,-4.19,2.83,-2.66,1
7.14,-1.99,-2.5,-1.41,4.65,-3.4,1
9.56,-2.39,-3.57,-3.5,5.98,-5.88,1
5.72,-3.19,-2.07,0.54,3.66,-2.62,1
7.52,3.87,-2.34,-4.0,5.16,-0.11,1
11.76,1.86,-3.93,-0.64,7.83,1.22,1
7.47,3.87,-2.48,-4.01,4.97,-0.11,1
3.53,-2.63,-2.01,1.4,1.51,-1.24,1
2.69,0.06,-1.83,-3.8,0.85,-3.74,1
6.62,-3.62,-2.94,-0.77,3.7,-4.39,1
16.29,-9.11,-2.8,-2.05,13.48,-11.17,1
13.71,0.38,-2.41,-4.21,11.29,-3.82,1
1.71,0.43,1.1,-4.4,2.8,-3.98,1
11.74,-0.33,-2.74,-2.21,9.02,-2.58,1
5.77,6.55,-9.12,-0.51,-3.35,6.02,1
17.67,8.13,-3.19,-3.55,14.48,4.58,1
14.07,-21.07,-2.27,1.31,11.8,-19.74,1
7.1,-1.73,-2.26,1.29,4.85,-0.43,1
7.1,-1.73,-2.26,1.29,4.85,-0.43,1
12.14,-2.13,-2.93,-1.81,9.22,-3.97,1
6.23,5.52,-1.77,-4.49,4.44,1.05,1
13.05,-3.08,-3.38,-3.41,9.65,-6.49,1
12.15,-1.76,-2.93,-1.89,9.24,-3.68,1
13.24,-1.56,-2.87,-3.87,10.35,-5.43,1
9.47,4.2,-0.5,-1.88,8.97,2.31,1
6.59,5.74,-9.1,0.83,-2.51,6.56,1
5.51,1.96,0.1,-2.29,5.62,-0.34,1
2.01,1.13,-2.25,-5.44,-0.28,-4.29,1
1.98,1.13,-2.26,-5.44,-0.32,-4.29,1
6.02,2.58,-1.79,-3.84,4.24,-1.26,1
11.28,-7.79,-3.06,-0.34,8.21,-8.16,1
11.28,-7.79,-3.06,-0.34,8.21,-8.16,1
11.28,-7.79,-3.06,-0.34,8.21,-8.16,1
11.28,-7.79,-3.06,-0.34,8.21,-8.16,1
10.01,1.33,-0.91,-1.65,9.1,-0.33,1
14.39,0.86,-3.75,-2.26,10.63,-1.44,1
4.75,-6.14,-3.37,-0.86,1.34,-6.99,1
9.83,6.42,-1.56,-3.07,8.28,3.33,1
6.2,4.57,0.8,-3.38,6.98,1.15,1
9.55,7.9,-0.46,-2.99,9.11,4.9,1
5.56,0.2,-1.33,-1.15,4.23,-0.97,1
5.66,-0.43,-1.42,-1.0,4.25,-1.44,1
5.66,-0.7,-1.32,-3.29,4.3,-4.0,1
5.57,-0.7,-1.29,-3.29,4.24,-4.0,1
2.01,1.13,-2.25,-5.44,-0.28,-4.29,1
17.22,1.11,0.62,-3.8,17.82,-2.74,1
3.89,-2.16,-1.41,1.91,2.48,-0.25,1
3.21,-2.81,-2.04,1.49,1.16,-1.32,1
4.97,8.48,2.23,-4.01,7.18,4.44,1
10.02,-2.43,-1.46,0.14,8.55,-2.3,1
10.02,-2.43,-1.46,0.14,8.55,-2.3,1
12.91,3.14,-4.03,-1.25,8.88,1.9,1
11.48,3.29,-4.05,-1.21,7.43,2.07,1
9.7,1.51,-2.27,-0.63,7.42,0.9,1
9.15,0.47,-2.34,-0.32,6.81,0.16,1
3.98,-1.06,-2.6,0.34,1.38,-0.72,1
3.99,-1.07,-2.55,0.4,1.43,-0.67,1
7.52,3.87,-2.32,-4.01,5.18,-0.12,1
7.52,3.87,-2.32,-4.01,5.18,-0.12,1
3.47,-2.65,-2.02,1.42,1.45,-1.24,1
15.17,-21.01,-2.27,1.31,12.89,-19.68,1
6.58,-16.36,-3.44,-1.61,3.08,-17.97,1
16.71,1.11,0.84,-3.8,17.53,-2.74,1
-0.15,-4.73,-2.29,0.65,-2.45,-4.09,1
10.97,8.35,-1.69,-1.8,9.28,6.56,1
12.16,-4.22,-2.44,0.44,9.73,-3.77,1
9.35,0.91,-1.4,-0.46,7.95,0.43,1
13.1,4.01,-3.03,-4.19,10.08,-0.19,1
4.07,-0.32,-2.62,-0.12,1.45,-0.45,1
13.34,8.99,-3.97,-4.68,9.39,4.28,1
3.2,-2.8,-2.04,1.5,1.16,-1.31,1
10.33,-0.43,-1.26,-1.47,9.07,-1.91,1
6.23,5.52,-1.77,-4.49,4.44,1.06,1
9.96,-2.24,-1.46,-1.23,8.5,-3.46,1
8.11,-12.82,-3.01,-0.27,5.08,-13.1,1
11.44,1.31,-2.36,-0.59,9.08,0.74,1
9.48,-0.39,-1.55,-0.27,7.92,-0.67,1
13.1,4.01,-3.03,-4.19,10.08,-0.19,1
11.5,4.44,-2.04,-1.98,9.43,2.48,1
9.64,-9.6,-4.68,-1.4,4.95,-10.99,1
3.18,-0.58,-4.43,-3.6,-1.27,-4.15,1
2.05,0.96,1.72,-4.16,3.76,-3.21,1
2.05,0.96,1.72,-4.16,3.76,-3.21,1
2.03,0.96,1.73,-4.16,3.76,-3.21,1
9.82,-0.05,-0.85,-0.1,8.97,-0.16,1
10.58,-0.51,-2.71,1.44,7.88,0.9,1
11.45,-1.23,-2.94,-1.74,8.51,-2.99,1
6.15,2.22,-2.9,-3.81,3.27,-1.61,1
2.06,1.13,-2.25,-5.43,-0.22,-4.28,1
2.06,1.13,-2.25,-5.43,-0.22,-4.28,1
-0.44,-4.69,-2.27,0.76,-2.72,-3.94,1
11.84,6.05,-2.05,-1.35,9.78,4.7,1
10.15,14.74,-1.19,-2.82,8.97,11.91,1
16.68,7.69,-2.38,-1.86,14.31,5.82,1
10.61,-2.07,-2.84,1.41,7.77,-0.66,1
8.89,-2.96,-4.19,0.55,4.71,-2.41,1
9.34,0.91,-4.05,-1.2,5.29,-0.29,1
16.09,-1.47,-2.55,1.54,13.55,0.06,1
11.81,4.84,-2.04,-1.9,9.75,2.96,1
12.92,3.15,-4.04,-1.24,8.88,1.92,1
10.51,-4.11,-2.85,3.84,7.65,-0.29,1
9.47,4.2,-0.5,-1.88,8.97,2.32,1
-2.86,-23.61,-0.69,2.17,-3.55,-21.42,1
7.96,-22.4,-1.58,1.63,6.36,-20.76,1
7.96,-22.4,-1.58,1.63,6.36,-20.76,1
2.65,-23.58,-1.17,1.94,1.48,-21.62,1
13.11,4.01,-3.0,-4.19,10.12,-0.19,1
10.0,-2.43,-1.48,0.14,8.52,-2.3,1
11.78,6.56,-2.01,-3.15,9.78,3.4,1
13.57,-0.1,-2.34,-4.27,11.21,-4.37,1
