conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_ortho,"subducting_abs_paral
",Label
8.69,-3.32,-1.65,-1.0,7.04,-4.33,0
4.31,0.76,-2.05,0.78,2.26,1.53,0
4.32,0.74,-2.05,0.78,2.27,1.52,0
4.34,0.73,-2.06,0.78,2.28,1.5,0
4.35,0.72,-2.06,0.77,2.29,1.48,0
4.36,0.7,-2.07,0.77,2.29,1.47,0
4.37,0.69,-2.07,0.76,2.3,1.45,0
1.21,-4.02,-2.08,0.76,-0.88,-3.27,0
1.22,-3.98,-2.08,0.76,-0.88,-3.24,0
1.23,-3.95,-2.09,0.75,-0.87,-3.21,0
1.23,-3.91,-2.1,0.75,-0.87,-3.18,0
4.43,0.49,-2.09,0.62,2.33,1.1,0
4.39,-0.74,-2.28,0.42,2.1,-0.33,0
4.39,-0.75,-2.28,0.42,2.11,-0.34,0
4.4,-0.76,-2.29,0.41,2.11,-0.36,0
4.4,-0.78,-2.3,0.41,2.11,-0.37,0
4.41,-0.79,-2.3,0.41,2.11,-0.39,0
4.42,-0.8,-2.31,0.4,2.11,-0.4,0
0.08,-3.57,-2.31,0.4,-2.24,-3.18,0
0.08,-3.54,-2.32,0.39,-2.24,-3.16,0
3.68,-2.5,-2.02,1.31,1.65,-1.2,0
5.2,-3.02,-2.03,0.59,3.17,-2.4,0
5.27,-3.07,-2.04,0.5,3.24,-2.55,0
5.17,-3.07,-2.04,0.5,3.13,-2.55,0
5.08,-3.06,-2.05,0.5,3.03,-2.54,0
4.98,-3.05,-2.05,0.49,2.93,-2.54,0
5.74,-2.71,-2.07,0.49,3.68,-2.19,0
6.83,-2.32,-2.07,0.49,4.76,-1.81,0
8.85,-2.42,-2.1,0.38,6.76,-2.02,0
7.78,3.8,-1.78,-1.07,5.99,2.74,0
7.77,3.7,-1.78,-1.08,5.97,2.64,0
6.24,1.28,-1.6,-1.6,4.62,-0.31,0
6.03,0.96,-1.58,-1.67,4.42,-0.69,0
5.98,0.91,-1.59,-1.67,4.36,-0.75,0
5.92,0.85,-1.59,-1.68,4.31,-0.81,0
5.87,0.79,-1.59,-1.69,4.25,-0.87,0
5.82,0.74,-1.6,-1.69,4.2,-0.94,0
5.77,0.68,-1.6,-1.7,4.14,-1.0,0
4.45,-1.24,-0.98,-1.4,3.45,-2.63,0
4.2,-1.54,-1.03,-1.35,3.15,-2.89,0
4.13,-1.57,-1.03,-1.35,3.08,-2.92,0
4.13,-1.64,-1.04,-1.36,3.07,-2.99,0
4.33,-1.82,-1.04,-1.36,3.28,-3.18,0
4.26,-1.86,-1.04,-1.36,3.2,-3.22,0
4.19,-1.9,-1.05,-1.37,3.12,-3.26,0
4.5,-1.65,-1.27,-1.17,3.22,-2.81,0
7.91,0.92,-3.22,0.6,4.7,1.54,0
7.81,0.76,-3.22,0.6,4.6,1.37,0
7.59,0.59,-2.6,0.54,4.99,1.13,0
7.59,0.51,-2.61,0.53,4.98,1.05,0
20.38,-15.73,-2.61,0.53,17.75,-15.19,0
21.55,-15.06,-2.62,0.53,18.92,-14.52,0
22.06,-14.94,-2.62,0.52,19.43,-14.4,0
20.88,-13.64,-2.44,0.44,18.43,-13.19,0
9.26,-2.94,-0.71,-0.24,8.55,-3.19,0
9.09,-3.53,-0.71,-0.24,8.38,-3.78,0
9.07,-3.51,-0.72,-0.24,8.35,-3.76,0
9.05,-3.49,-0.72,-0.24,8.32,-3.74,0
9.02,-3.47,-3.67,-1.29,5.34,-4.78,0
11.44,-2.03,-3.67,-1.31,7.76,-3.35,0
12.44,-1.43,-3.67,-1.32,8.77,-2.76,0
12.43,-1.39,-3.67,-1.34,8.75,-2.74,0
12.42,-1.36,-3.67,-1.35,8.74,-2.72,0
11.92,-1.96,-3.67,-1.36,8.25,-3.33,0
11.9,-1.94,-3.67,-1.38,8.23,-3.33,0
