index,lon,lat,age,plate_id
0,-110.91,30.0,0,101
1,-107.35,37.36,0,101
2,-114.57,44.61,0,154
3,-117.73,36.98,0,178
4,-123.85,51.58,0,16101
5,-128.5,58.8,0,16106
6,-133.76,61.99,0,16106
7,-109.21,33.69,0,101
8,-105.76,30.74,0,101
9,-103.83,34.37,0,101
10,-107.86,26.39,0,104
11,-112.56,37.28,0,101
12,-114.18,33.54,0,101
13,-110.76,41.04,0,101
14,-120.28,44.19,0,173
15,-121.61,40.3,0,178
16,-116.24,40.81,0,178
17,-129.31,54.71,0,16124
18,-122.54,55.61,0,154
19,-112.67,48.54,0,101
20,-117.21,52.2,0,154
21,-118.89,48.19,0,154
22,-132.14,58.23,0,16101
23,-131.0,60.42,0,16106
24,-134.77,59.77,0,16101
25,-124.76,59.26,0,101
26,-127.09,60.95,0,154
27,-132.6,64.19,0,154
28,-129.7,62.6,0,154
29,-137.69,61.26,0,16104
30,-136.86,63.5,0,154
31,-106.36,39.18,0,101
32,-108.3,35.53,0,101
33,-106.53,34.06,0,101
34,-105.56,35.88,0,101
35,-110.07,31.85,0,101
36,-108.34,30.4,0,101
37,-107.46,32.23,0,101
38,-103.16,31.04,0,101
39,-104.81,32.56,0,101
40,-109.36,28.2,0,104
41,-104.28,28.89,0,101
42,-101.73,29.15,0,101
43,-106.83,28.57,0,101
44,-105.36,26.73,0,101
45,-111.7,33.64,0,101
46,-112.51,31.78,0,101
47,-109.96,37.35,0,101
48,-110.84,35.5,0,101
49,-115.15,37.16,0,178
50,-115.92,35.27,0,101
51,-113.39,35.41,0,178
52,-108.04,41.05,0,101
53,-109.01,39.21,0,101
54,-111.69,44.72,0,101
55,-112.61,42.84,0,178
56,-109.81,42.9,0,101
57,-117.44,44.44,0,173
58,-118.21,42.52,0,173
59,-115.43,42.71,0,173
60,-123.1,43.87,0,173
61,-120.97,42.25,0,173
62,-119.63,38.66,0,178
63,-117.01,38.89,0,178
64,-118.94,40.59,0,178
65,-111.68,39.17,0,178
66,-113.51,40.96,0,178
67,-114.35,39.06,0,178
68,-125.39,57.24,0,154
69,-121.77,57.61,0,101
70,-128.93,56.75,0,16101
71,-126.48,53.17,0,16101
72,-123.22,53.59,0,16113
73,-125.96,55.2,0,16101
74,-124.42,49.56,0,16110
75,-113.65,46.58,0,154
76,-110.67,46.66,0,101
77,-116.25,54.17,0,101
78,-118.89,55.93,0,101
79,-120.55,51.93,0,16107
80,-119.77,53.93,0,154
81,-121.94,47.9,0,173
82,-121.28,49.91,0,16102
83,-122.55,45.89,0,173
84,-116.66,46.42,0,173
85,-119.61,46.19,0,173
86,-114.85,50.39,0,154
87,-118.09,50.2,0,16107
88,-115.79,48.41,0,154
89,-110.91,30.0,1,101
90,-107.35,37.36,1,101
91,-114.57,44.61,1,154
92,-117.73,36.98,1,178
93,-123.85,51.58,1,16101
94,-128.5,58.8,1,16106
95,-133.76,61.99,1,16106
96,-109.21,33.69,1,101
97,-105.76,30.74,1,101
98,-103.83,34.37,1,101
99,-107.86,26.39,1,104
100,-112.56,37.28,1,101
101,-114.18,33.54,1,101
102,-110.76,41.04,1,101
103,-120.28,44.19,1,173
104,-121.61,40.3,1,178
105,-116.24,40.81,1,178
106,-129.31,54.71,1,16124
107,-122.54,55.61,1,154
108,-112.67,48.54,1,101
109,-117.21,52.2,1,154
110,-118.89,48.19,1,154
111,-132.14,58.23,1,16101
112,-131.0,60.42,1,16106
113,-134.77,59.77,1,16101
114,-124.76,59.26,1,101
115,-127.09,60.95,1,154
116,-132.6,64.19,1,154
117,-129.7,62.6,1,154
118,-137.69,61.26,1,16104
119,-136.86,63.5,1,154
120,-106.36,39.18,1,101
121,-108.3,35.53,1,101
122,-106.53,34.06,1,101
123,-105.56,35.88,1,101
124,-110.07,31.85,1,101
125,-108.34,30.4,1,101
126,-107.46,32.23,1,101
127,-103.16,31.04,1,101
128,-104.81,32.56,1,101
129,-109.36,28.2,1,104
130,-104.28,28.89,1,101
131,-101.73,29.15,1,101
132,-106.83,28.57,1,101
133,-105.36,26.73,1,101
134,-111.7,33.64,1,101
135,-112.51,31.78,1,101
136,-109.96,37.35,1,101
137,-110.84,35.5,1,101
138,-115.15,37.16,1,178
139,-115.92,35.27,1,101
140,-113.39,35.41,1,178
141,-108.04,41.05,1,101
142,-109.01,39.21,1,101
143,-111.69,44.72,1,101
144,-112.61,42.84,1,178
145,-109.81,42.9,1,101
146,-117.44,44.44,1,173
147,-118.21,42.52,1,173
148,-115.43,42.71,1,173
149,-123.1,43.87,1,173
150,-120.97,42.25,1,173
151,-119.63,38.66,1,178
152,-117.01,38.89,1,178
153,-118.94,40.59,1,178
154,-111.68,39.17,1,178
155,-113.51,40.96,1,178
156,-114.35,39.06,1,178
157,-125.39,57.24,1,154
158,-121.77,57.61,1,101
159,-128.93,56.75,1,16101
160,-126.48,53.17,1,16101
161,-123.22,53.59,1,16113
162,-125.96,55.2,1,16101
163,-124.42,49.56,1,16110
164,-113.65,46.58,1,154
165,-110.67,46.66,1,101
166,-116.25,54.17,1,101
167,-118.89,55.93,1,101
168,-120.55,51.93,1,16107
169,-119.77,53.93,1,154
170,-121.94,47.9,1,173
171,-121.28,49.91,1,16102
172,-122.55,45.89,1,173
173,-116.66,46.42,1,173
174,-119.61,46.19,1,173
175,-114.85,50.39,1,154
176,-118.09,50.2,1,16107
177,-115.79,48.41,1,154
178,-110.91,30.0,2,101
179,-107.35,37.36,2,101
180,-114.57,44.61,2,154
181,-117.73,36.98,2,178
182,-123.85,51.58,2,16101
183,-128.5,58.8,2,16106
184,-133.76,61.99,2,16106
185,-109.21,33.69,2,101
186,-105.76,30.74,2,101
187,-103.83,34.37,2,101
188,-107.86,26.39,2,104
189,-112.56,37.28,2,101
190,-114.18,33.54,2,101
191,-110.76,41.04,2,101
192,-120.28,44.19,2,173
193,-121.61,40.3,2,178
194,-116.24,40.81,2,178
195,-129.31,54.71,2,16124
196,-122.54,55.61,2,154
197,-112.67,48.54,2,101
198,-117.21,52.2,2,154
199,-118.89,48.19,2,154
200,-132.14,58.23,2,16101
201,-131.0,60.42,2,16106
202,-134.77,59.77,2,16101
203,-124.76,59.26,2,101
204,-127.09,60.95,2,154
205,-132.6,64.19,2,154
206,-129.7,62.6,2,154
207,-137.69,61.26,2,16104
208,-136.86,63.5,2,154
209,-106.36,39.18,2,101
210,-108.3,35.53,2,101
211,-106.53,34.06,2,101
212,-105.56,35.88,2,101
213,-110.07,31.85,2,101
214,-108.34,30.4,2,101
215,-107.46,32.23,2,101
216,-103.16,31.04,2,101
217,-104.81,32.56,2,101
218,-109.36,28.2,2,104
219,-104.28,28.89,2,101
220,-101.73,29.15,2,101
221,-106.83,28.57,2,101
222,-105.36,26.73,2,101
223,-111.7,33.64,2,101
224,-112.51,31.78,2,101
225,-109.96,37.35,2,101
226,-110.84,35.5,2,101
227,-115.15,37.16,2,178
228,-115.92,35.27,2,101
229,-113.39,35.41,2,178
230,-108.04,41.05,2,101
231,-109.01,39.21,2,101
232,-111.69,44.72,2,101
233,-112.61,42.84,2,178
234,-109.81,42.9,2,101
235,-117.44,44.44,2,173
236,-118.21,42.52,2,173
237,-115.43,42.71,2,173
238,-123.1,43.87,2,173
239,-120.97,42.25,2,173
240,-119.63,38.66,2,178
241,-117.01,38.89,2,178
242,-118.94,40.59,2,178
243,-111.68,39.17,2,178
244,-113.51,40.96,2,178
245,-114.35,39.06,2,178
246,-125.39,57.24,2,154
247,-121.77,57.61,2,101
248,-128.93,56.75,2,16101
249,-126.48,53.17,2,16101
250,-123.22,53.59,2,16113
251,-125.96,55.2,2,16101
252,-124.42,49.56,2,16110
253,-113.65,46.58,2,154
254,-110.67,46.66,2,101
255,-116.25,54.17,2,101
256,-118.89,55.93,2,101
257,-120.55,51.93,2,16107
258,-119.77,53.93,2,154
259,-121.94,47.9,2,173
260,-121.28,49.91,2,16102
261,-122.55,45.89,2,173
262,-116.66,46.42,2,173
263,-119.61,46.19,2,173
264,-114.85,50.39,2,154
265,-118.09,50.2,2,16107
266,-115.79,48.41,2,154
267,-110.91,30.0,3,101
268,-107.35,37.36,3,101
269,-114.57,44.61,3,154
270,-117.73,36.98,3,178
271,-123.85,51.58,3,16101
272,-128.5,58.8,3,16106
273,-133.76,61.99,3,16106
274,-109.21,33.69,3,101
275,-105.76,30.74,3,101
276,-103.83,34.37,3,101
277,-107.86,26.39,3,104
278,-112.56,37.28,3,101
279,-114.18,33.54,3,101
280,-110.76,41.04,3,101
281,-120.28,44.19,3,173
282,-121.61,40.3,3,178
283,-116.24,40.81,3,178
284,-129.31,54.71,3,16124
285,-122.54,55.61,3,154
286,-112.67,48.54,3,101
287,-117.21,52.2,3,154
288,-118.89,48.19,3,154
289,-132.14,58.23,3,16101
290,-131.0,60.42,3,16106
291,-134.77,59.77,3,16101
292,-124.76,59.26,3,101
293,-127.09,60.95,3,154
294,-132.6,64.19,3,154
295,-129.7,62.6,3,154
296,-137.69,61.26,3,16104
297,-136.86,63.5,3,154
298,-106.36,39.18,3,101
299,-108.3,35.53,3,101
300,-106.53,34.06,3,101
301,-105.56,35.88,3,101
302,-110.07,31.85,3,101
303,-108.34,30.4,3,101
304,-107.46,32.23,3,101
305,-103.16,31.04,3,101
306,-104.81,32.56,3,101
307,-109.36,28.2,3,104
308,-104.28,28.89,3,101
309,-101.73,29.15,3,101
310,-106.83,28.57,3,101
311,-105.36,26.73,3,101
312,-111.7,33.64,3,101
313,-112.51,31.78,3,101
314,-109.96,37.35,3,101
315,-110.84,35.5,3,101
316,-115.15,37.16,3,178
317,-115.92,35.27,3,101
318,-113.39,35.41,3,178
319,-108.04,41.05,3,101
320,-109.01,39.21,3,101
321,-111.69,44.72,3,101
322,-112.61,42.84,3,178
323,-109.81,42.9,3,101
324,-117.44,44.44,3,173
325,-118.21,42.52,3,173
326,-115.43,42.71,3,173
327,-123.1,43.87,3,173
328,-120.97,42.25,3,173
329,-119.63,38.66,3,178
330,-117.01,38.89,3,178
331,-118.94,40.59,3,178
332,-111.68,39.17,3,178
333,-113.51,40.96,3,178
334,-114.35,39.06,3,178
335,-125.39,57.24,3,154
336,-121.77,57.61,3,101
337,-128.93,56.75,3,16101
338,-126.48,53.17,3,16101
339,-123.22,53.59,3,16113
340,-125.96,55.2,3,16101
341,-124.42,49.56,3,16110
342,-113.65,46.58,3,154
343,-110.67,46.66,3,101
344,-116.25,54.17,3,101
345,-118.89,55.93,3,101
346,-120.55,51.93,3,16107
347,-119.77,53.93,3,154
348,-121.94,47.9,3,173
349,-121.28,49.91,3,16102
350,-122.55,45.89,3,173
351,-116.66,46.42,3,173
352,-119.61,46.19,3,173
353,-114.85,50.39,3,154
354,-118.09,50.2,3,16107
355,-115.79,48.41,3,154
356,-110.91,30.0,4,101
357,-107.35,37.36,4,101
358,-114.57,44.61,4,154
359,-117.73,36.98,4,178
360,-123.85,51.58,4,16101
361,-128.5,58.8,4,16106
362,-133.76,61.99,4,16106
363,-109.21,33.69,4,101
364,-105.76,30.74,4,101
365,-103.83,34.37,4,101
366,-107.86,26.39,4,104
367,-112.56,37.28,4,101
368,-114.18,33.54,4,101
369,-110.76,41.04,4,101
370,-120.28,44.19,4,173
371,-121.61,40.3,4,178
372,-116.24,40.81,4,178
373,-129.31,54.71,4,16124
374,-122.54,55.61,4,154
375,-112.67,48.54,4,101
376,-117.21,52.2,4,154
377,-118.89,48.19,4,154
378,-132.14,58.23,4,16101
379,-131.0,60.42,4,16106
380,-134.77,59.77,4,16101
381,-124.76,59.26,4,101
382,-127.09,60.95,4,154
383,-132.6,64.19,4,154
384,-129.7,62.6,4,154
385,-137.69,61.26,4,16104
386,-136.86,63.5,4,154
387,-106.36,39.18,4,101
388,-108.3,35.53,4,101
389,-106.53,34.06,4,101
390,-105.56,35.88,4,101
391,-110.07,31.85,4,101
392,-108.34,30.4,4,101
393,-107.46,32.23,4,101
394,-103.16,31.04,4,101
395,-104.81,32.56,4,101
396,-109.36,28.2,4,104
397,-104.28,28.89,4,101
398,-101.73,29.15,4,101
399,-106.83,28.57,4,101
400,-105.36,26.73,4,101
401,-111.7,33.64,4,101
402,-112.51,31.78,4,101
403,-109.96,37.35,4,101
404,-110.84,35.5,4,101
405,-115.15,37.16,4,178
406,-115.92,35.27,4,101
407,-113.39,35.41,4,178
408,-108.04,41.05,4,101
409,-109.01,39.21,4,101
410,-111.69,44.72,4,101
411,-112.61,42.84,4,178
412,-109.81,42.9,4,101
413,-117.44,44.44,4,173
414,-118.21,42.52,4,173
415,-115.43,42.71,4,173
416,-123.1,43.87,4,173
417,-120.97,42.25,4,173
418,-119.63,38.66,4,178
419,-117.01,38.89,4,178
420,-118.94,40.59,4,178
421,-111.68,39.17,4,178
422,-113.51,40.96,4,178
423,-114.35,39.06,4,178
424,-125.39,57.24,4,154
425,-121.77,57.61,4,101
426,-128.93,56.75,4,16101
427,-126.48,53.17,4,16101
428,-123.22,53.59,4,16113
429,-125.96,55.2,4,16101
430,-124.42,49.56,4,16110
431,-113.65,46.58,4,154
432,-110.67,46.66,4,101
433,-116.25,54.17,4,101
434,-118.89,55.93,4,101
435,-120.55,51.93,4,16107
436,-119.77,53.93,4,154
437,-121.94,47.9,4,173
438,-121.28,49.91,4,16102
439,-122.55,45.89,4,173
440,-116.66,46.42,4,173
441,-119.61,46.19,4,173
442,-114.85,50.39,4,154
443,-118.09,50.2,4,16107
444,-115.79,48.41,4,154
445,-110.91,30.0,5,101
446,-107.35,37.36,5,101
447,-114.57,44.61,5,154
448,-117.73,36.98,5,178
449,-123.85,51.58,5,16101
450,-128.5,58.8,5,16106
