dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
3.35,-1.94,4.31,-1.46
0.01,-2.35,4.92,0.16
2.68,-1.4,3.86,-0.01
1.05,1.05,0.0,0.0
0.1,-0.68,4.63,1.13
0.01,-2.35,4.92,0.16
0.09,-0.68,6.93,1.05
0.01,-2.35,4.92,0.16
0.09,-0.68,6.93,1.05
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
2.88,-2.0,4.39,-1.4
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
1.15,-0.14,0.0,0.0
0.14,0.18,0.0,0.0
5.54,-1.69,4.12,-0.88
2.68,-1.4,3.86,-0.01
5.54,-1.69,4.12,-0.88
0.05,-0.92,0.0,0.0
0.05,-0.92,0.0,0.0
0.1,-0.68,4.63,1.13
1.4,-0.08,0.0,0.0
0.71,1.09,0.0,0.0
0.1,-0.68,4.63,1.13
0.1,-0.68,4.63,1.13
0.1,-0.68,4.63,1.13
0.1,-0.68,4.63,1.13
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.09,-0.68,6.93,1.05
0.01,-2.35,4.92,0.16
0.09,-0.68,6.93,1.05
0.09,-0.68,6.93,1.05
0.09,-0.68,6.93,1.05
0.09,-0.68,6.93,1.05
0.09,-0.68,6.93,1.05
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
1.12,-2.13,4.45,-1.81
0.01,-2.35,4.92,0.16
3.35,-1.94,4.31,-1.46
1.12,-2.13,4.45,-1.81
1.12,-2.13,4.45,-1.81
3.35,-1.94,4.31,-1.46
1.12,-2.13,4.45,-1.81
1.12,-2.13,4.45,-1.81
2.88,-2.0,4.39,-1.4
1.12,-2.13,4.45,-1.81
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
0.01,-2.35,4.92,0.16
1.15,-0.14,0.0,0.0
0.14,0.18,0.0,0.0
1.4,-0.08,0.0,0.0
0.14,0.18,0.0,0.0
0.14,0.18,0.0,0.0
0.14,0.18,0.0,0.0
4.15,-1.5,3.93,0.93
4.32,-1.9,4.38,-0.65
4.32,-1.9,4.38,-0.65
2.68,-1.4,3.86,-0.01
0.14,0.18,0.0,0.0
2.68,-1.4,3.86,-0.01
0.14,0.18,0.0,0.0
5.54,-1.69,4.12,-0.88
4.48,-1.57,4.04,0.57
4.32,-1.9,4.38,-0.65
4.32,-1.9,4.38,-0.65
4.32,-1.9,4.38,-0.65
4.8,-1.63,4.11,-0.26
4.65,-1.59,4.06,0.57
5.54,-1.69,4.12,-0.88
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
3.65,-1.95,4.34,-1.43
0.08,-2.39,4.97,0.19
2.64,-1.41,3.88,0.02
0.97,1.08,0.0,0.0
0.1,-0.67,4.6,1.16
0.08,-2.39,4.97,0.19
0.1,-0.72,6.76,0.96
0.08,-2.39,4.97,0.19
