dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
8.83,-0.45,3.17,0.81,False
0.09,-4.11,3.97,-0.84,False
1.28,-1.79,5.47,-6.47,False
1.17,-5.52,6.35,4.65,False
16.2,-4.0,15.24,-4.38,False
4.89,-2.44,7.12,-2.34,False
7.21,0.06,1.91,1.05,False
7.19,-2.08,9.2,2.41,False
6.72,-2.78,11.18,-3.89,False
6.58,-3.6,11.67,-4.21,False
4.3,-1.98,4.39,-1.38,False
5.45,-2.03,4.43,-1.33,False
2.67,-4.27,13.3,1.23,False
10.27,-2.83,9.3,-0.94,False
0.67,-1.44,9.08,2.49,False
0.29,-0.77,7.7,6.21,False
0.09,-1.8,4.1,-0.88,False
3.22,-4.23,12.57,0.64,False
0.48,-0.69,7.43,5.89,False
0.48,-0.31,5.11,3.49,False
4.97,-2.57,1.9,-7.3,False
0.29,-0.57,4.69,6.7,False
9.16,-4.15,13.34,2.99,False
0.09,-1.51,12.89,1.24,False
0.48,-0.33,4.78,7.0,False
12.55,0.0,5.68,3.1,False
0.26,-1.11,0.67,3.38,False
8.72,-2.74,12.25,1.2,False
6.99,-2.92,18.12,4.22,False
2.95,-3.3,15.65,7.86,False
0.09,-2.08,10.37,-1.23,False
11.22,0.0,5.92,-0.51,False
0.1,0.0,5.75,3.62,False
3.37,-0.63,4.47,6.55,False
0.1,-2.67,4.89,-0.97,False
2.6,-0.34,5.09,7.06,False
6.32,0.62,2.0,0.71,False
0.1,0.0,5.63,3.86,False
11.71,0.0,3.44,-1.03,False
6.23,-3.63,12.16,1.44,False
3.5,0.0,3.93,5.18,False
6.46,0.05,2.01,0.69,False
6.5,-0.34,1.38,2.2,False
0.09,-2.61,4.87,0.1,False
9.23,-0.31,3.02,0.8,False
10.46,-2.5,8.38,-2.38,False
2.6,-0.58,5.0,6.7,False
2.99,-0.1,5.64,3.79,False
10.31,-2.99,13.0,-0.03,False
0.1,0.0,5.7,3.8,False
0.09,-4.34,13.36,1.13,False
2.8,-0.33,5.5,3.49,False
2.8,-1.68,9.89,-0.09,False
2.8,-1.68,9.89,-0.09,False
0.07,-2.52,4.93,1.02,False
10.46,-2.98,12.95,-0.04,False
6.65,-4.31,9.97,-2.46,False
10.46,-2.98,13.01,0.0,False
7.73,-2.8,9.69,-0.65,False
2.99,-0.27,4.44,6.91,False
0.08,-2.42,5.02,0.23,False
0.09,-4.32,12.74,-0.09,False
10.62,0.0,5.26,3.69,False
8.8,-0.44,1.29,2.33,False
3.59,0.0,4.37,5.3,False
6.5,-2.76,15.07,2.04,False
0.09,-1.8,4.1,-0.88,False
2.28,1.7,-13.59,0.59,False
2.99,-1.42,9.12,2.49,False
2.6,-0.72,7.71,5.95,False
2.8,-0.34,4.99,6.89,False
2.6,-1.42,9.11,2.52,False
0.09,-2.82,10.52,0.21,False
8.61,0.36,3.23,0.6,False
2.99,-0.59,5.18,6.87,False
5.1,-3.85,12.36,-0.39,False
0.09,-2.09,10.39,-1.23,False
3.18,-1.68,9.89,0.05,False
6.35,-2.85,13.37,3.0,False
0.65,-3.07,15.43,7.88,False
0.09,-1.51,12.89,1.09,False
6.08,-3.64,12.17,1.46,False
2.6,-1.3,9.02,2.31,False
3.27,-5.3,5.25,0.31,False
6.99,-1.81,9.37,2.73,False
6.51,-2.03,7.65,-0.97,False
6.99,-2.42,9.41,2.45,False
0.29,-4.94,6.44,-0.79,False
0.7,10.08,0.86,13.89,False
11.61,-0.52,7.07,3.19,False
6.52,0.2,2.47,0.48,False
6.17,-1.68,8.24,-4.3,False
4.83,-2.06,4.44,-1.39,False
3.88,0.82,1.78,0.94,False
0.68,-1.92,6.56,-7.54,False
0.08,-4.05,15.97,-3.23,False
4.24,-2.91,9.94,0.38,False
10.25,-0.07,5.81,-3.22,False
1.33,-3.12,8.44,-3.83,False
11.1,-0.41,3.0,-5.52,False
3.46,0.24,1.71,1.08,False
0.09,-5.58,6.34,4.71,False
7.09,-2.1,3.76,-2.14,False
2.52,-4.34,4.21,-0.47,False
4.24,-2.11,10.87,-1.63,False
3.84,-5.18,6.37,2.24,False
4.24,-2.03,8.78,-2.27,False
0.08,-3.62,4.93,1.14,False
4.05,-2.25,8.6,-2.48,False
3.84,-2.09,6.32,-6.17,False
0.1,-3.06,8.52,-4.43,False
7.5,-1.89,6.79,-3.95,False
4.24,-2.56,10.1,0.68,False
0.1,10.35,1.39,13.5,False
4.24,-2.24,9.87,0.66,False
3.44,-1.82,5.77,-6.38,False
0.1,-3.06,8.52,-4.43,False
1.33,-2.36,4.5,-4.33,False
6.05,-1.7,3.38,-2.84,False
0.1,-3.79,5.26,1.66,False
4.44,-2.19,10.96,-1.6,False
3.64,-2.08,6.1,-6.37,False
4.44,-2.24,9.8,0.63,False
0.1,10.35,1.39,13.5,False
0.1,-3.89,5.19,3.0,False
2.89,-4.26,4.18,0.42,False
2.89,-4.1,4.18,0.45,False
2.7,-4.0,4.28,-0.31,False
0.72,-5.37,7.24,3.65,False
6.72,-2.78,11.18,-3.89,False
4.05,-2.19,11.0,-1.59,False
5.74,-1.68,3.27,-2.91,False
0.1,-3.05,3.81,6.89,False
4.83,-1.68,3.26,-2.93,False
0.45,-2.77,12.01,3.89,False
4.44,-2.03,8.51,-2.34,False
2.7,-3.94,4.26,-0.42,False
3.7,-0.24,0.98,2.34,False
4.64,-2.5,9.88,0.46,False
