dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
2.63,-3.81,11.97,1.2,True
5.86,-1.97,6.33,-2.97,True
5.33,-2.87,6.75,-3.04,True
5.33,-2.87,6.75,-3.04,True
5.86,-1.97,6.33,-2.97,True
0.09,-2.58,5.18,0.37,True
1.52,-3.11,8.38,-3.83,True
1.52,-3.11,8.38,-3.83,True
1.52,-3.11,8.38,-3.83,True
1.52,-3.11,8.38,-3.83,True
7.44,-1.77,3.74,-2.37,True
7.38,-1.98,3.59,-2.26,True
2.1,-4.3,13.28,1.26,True
2.1,-4.3,13.28,1.26,True
2.9,-4.25,13.28,1.25,True
2.9,-4.25,13.28,1.25,True
2.9,-4.25,13.28,1.25,True
2.9,-4.25,13.28,1.25,True
2.9,-4.25,13.28,1.25,True
2.9,-4.25,13.28,1.25,True
2.9,-4.25,13.28,1.25,True
2.9,-4.25,13.28,1.25,True
2.9,-4.25,13.28,1.25,True
2.9,-4.25,13.28,1.25,True
2.9,-4.25,13.28,1.25,True
2.36,-4.28,13.32,1.2,True
2.36,-4.28,13.32,1.2,True
2.36,-4.28,13.32,1.2,True
2.36,-4.28,13.32,1.2,True
2.36,-4.28,13.32,1.2,True
2.36,-4.28,13.32,1.2,True
2.36,-4.28,13.32,1.2,True
2.36,-4.28,13.32,1.2,True
6.62,-2.96,13.37,0.27,True
7.13,-2.98,13.13,0.04,True
5.84,-2.33,12.03,0.95,True
7.87,-2.4,12.84,1.5,True
5.91,-2.34,0.07,-2.73,True
5.91,-2.34,0.07,-2.73,True
5.91,-2.34,0.07,-2.73,True
0.08,-2.45,9.99,3.42,True
0.09,-1.75,9.28,2.98,True
3.26,-2.63,1.51,-7.37,True
0.09,-1.75,9.28,2.98,True
0.08,-2.45,9.99,3.42,True
0.09,-1.75,9.28,2.98,True
0.09,-1.75,9.28,2.98,True
0.09,-1.75,9.28,2.98,True
3.43,-2.63,1.31,-7.32,True
3.43,-2.63,1.31,-7.32,True
3.43,-2.63,1.31,-7.32,True
3.43,-2.63,1.31,-7.32,True
0.09,-1.75,9.28,2.98,True
3.43,-2.63,1.31,-7.32,True
3.26,-2.63,1.51,-7.37,True
3.26,-2.63,1.51,-7.37,True
3.26,-2.63,1.51,-7.37,True
3.26,-2.63,1.51,-7.37,True
0.1,-3.32,3.32,0.56,True
5.92,-2.76,11.5,0.98,True
5.84,-2.33,12.03,0.95,True
5.92,-2.76,11.5,0.98,True
5.91,-2.34,0.07,-2.73,True
5.68,-2.34,-0.96,-3.51,True
5.68,-2.34,-0.96,-3.51,True
5.68,-2.34,-0.96,-3.51,True
0.08,-1.81,4.11,-0.86,True
0.08,-1.81,4.11,-0.86,True
0.08,-1.81,4.11,-0.86,True
0.08,-1.81,4.11,-0.86,True
0.08,-1.81,4.11,-0.86,True
0.07,-2.52,4.93,1.02,True
0.09,-2.67,4.93,0.13,True
0.09,-2.67,4.93,0.13,True
0.09,-2.67,4.93,0.13,True
0.09,-2.61,4.87,0.1,True
0.09,-2.67,4.93,0.13,True
0.09,-2.5,5.13,0.34,True
0.09,-2.58,5.18,0.37,True
0.09,-2.58,5.18,0.37,True
0.09,-2.58,5.18,0.37,True
5.92,-2.76,11.5,0.98,True
5.91,-2.34,0.07,-2.73,True
1.71,-3.11,8.31,-3.83,True
1.71,-3.11,8.31,-3.83,True
6.93,-2.87,10.37,0.38,True
1.34,-3.12,8.14,-4.53,True
1.52,-2.35,5.03,-4.3,True
1.52,-2.35,5.03,-4.3,True
0.1,-2.42,4.56,-3.01,True
0.07,-5.29,7.16,3.44,True
1.04,-5.34,7.21,3.86,True
0.09,-4.07,8.51,-4.43,True
0.09,-4.07,8.51,-4.43,True
0.09,-4.07,8.51,-4.43,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
3.65,-1.95,4.34,-1.43,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
0.09,-4.07,8.51,-4.43,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
