index,lon,lat,age,plate_id
0,-108.08,37.4,131,101
1,-121.744,47.164,78,173
2,-121.828,47.155,174,173
3,-121.825,47.155,113,173
4,-121.861,47.15600000000001,53,173
5,-113.58,39.71,41,178
6,-122.914,42.6151,148,173
7,-122.907,42.6098,209,173
8,-122.876,42.6094,28,173
9,-122.88,42.5805,30,173
10,-122.268,44.7507,3,173
11,-122.256,44.7918,8,173
12,-107.522,32.9806,73,101
13,-107.558,32.9458,58,101
14,-107.531,32.9672,185,101
15,-107.534,32.9661,190,101
16,-107.533,32.9661,16,101
17,-107.533,32.9664,79,101
18,-107.529,32.9772,199,101
19,-107.55,32.9381,229,101
20,-107.53,32.9681,22,101
21,-107.546,32.9686,208,101
22,-107.54,32.9258,70,101
23,-107.511,32.9947,92,101
24,-107.546,32.935,201,101
25,-107.523,32.9803,156,101
26,-107.538,32.9664,6,101
27,-107.531,32.9933,31,101
28,-107.556,32.9569,37,101
29,-107.534,32.9664,87,101
30,-107.554,32.9422,100,101
31,-107.557,32.945,153,101
32,-107.543,32.9444,110,101
33,-105.109,37.5747,219,101
34,-105.119,37.5725,18,101
35,-105.134,36.9508,200,101
36,-105.051,37.2142,137,101
37,-105.184,36.7852,117,101
38,-105.165,36.9381,167,101
39,-105.103,37.015,66,101
40,-105.106,37.3678,120,101
41,-105.036,37.2539,139,101
42,-105.044,37.2575,140,101
43,-105.044,37.2575,11,101
44,-105.029,37.2406,132,101
45,-105.033,37.2375,46,101
46,-105.008,37.0558,208,101
47,-105.066,37.5222,222,101
48,-105.091,37.53,36,101
49,-105.019,37.1558,115,101
50,-105.03,37.4722,75,101
51,-105.043,37.0892,229,101
52,-105.033,37.1239,177,101
53,-105.042,37.2536,177,101
54,-105.048,37.2661,14,101
55,-105.094,37.4639,38,101
56,-105.061,37.3281,51,101
57,-105.025,37.1494,37,101
58,-105.021,37.0781,57,101
59,-105.224,36.9381,213,101
60,-105.188,36.9789,2,101
61,-105.195,36.9786,76,101
62,-105.191,36.9797,162,101
63,-105.208,36.9389,142,101
64,-105.222,36.9342,119,101
65,-105.191,36.9797,32,101
66,-105.265,36.9881,16,101
67,-105.268,37.0011,85,101
68,-105.268,37.0106,185,101
69,-105.271,37.0256,197,101
70,-105.196,36.985,203,101
71,-105.197,36.9853,186,101
72,-105.227,37.0292,20,101
73,-105.244,37.0381,127,101
74,-105.232,37.0381,205,101
75,-105.34,37.0647,48,101
76,-105.34,37.0647,101,101
77,-105.348,37.0714,179,101
78,-105.367,37.3203,68,101
79,-105.428,37.2111,89,101
80,-105.438,37.2661,93,101
81,-105.066,37.0303,65,101
82,-104.786,37.1244,182,101
83,-122.928,42.8025,83,173
84,-122.926,42.7672,201,173
85,-122.888,42.7712,20,173
86,-122.866,42.56800000000001,217,173
87,-122.939,42.749,93,173
88,-122.904,42.688,53,173
89,-116.365,40.9691,228,178
90,-116.305,40.8609,134,178
91,-110.293,43.9328,187,101
92,-110.352,43.9372,5,101
93,-110.353,43.9386,137,101
94,-110.37,44.0236,49,101
95,-110.296,43.9283,55,101
96,-110.295,43.9289,219,101
97,-110.294,43.9292,160,101
98,-110.32,43.9514,37,101
99,-110.319,43.9517,166,101
100,-110.319,43.9519,147,101
101,-110.318,43.9522,116,101
102,-110.413,43.9444,12,101
103,-110.423,43.9283,79,101
104,-110.422,43.9258,195,101
105,-110.421,43.9261,87,101
106,-110.531,44.0133,220,101
107,-110.532,44.0136,98,101
108,-110.547,44.0039,227,101
109,-110.497,43.9639,179,101
110,-110.51,43.9514,59,101
111,-110.514,44.0167,23,101
112,-110.514,44.0169,213,101
113,-110.516,44.0186,54,101
114,-110.516,44.0189,203,101
115,-110.502,44.02,174,101
116,-110.531,43.9911,59,101
117,-110.532,44.0336,42,101
118,-110.538,44.0414,18,101
119,-110.414,43.945,122,101
120,-110.414,43.9236,194,101
121,-110.288,44.1328,175,101
122,-110.318,43.9147,204,101
123,-110.394,43.9542,54,101
124,-110.394,43.9536,120,101
125,-110.393,43.9531,75,101
126,-110.393,43.9528,73,101
127,-110.393,43.9525,82,101
128,-110.393,43.9522,105,101
129,-110.393,43.9519,28,101
130,-110.392,43.9517,193,101
131,-110.391,43.9503,16,101
132,-110.391,43.95,109,101
133,-110.391,43.9497,18,101
134,-110.39,43.9492,67,101
135,-110.39,43.9483,224,101
